m,spwinners,gwwinners,gewinners,owwinners,oewinners
16,0.883044871794871788,0.605094627594627621,0.950586080586080628,0.888253968253968296,0.95869352869352864
17,0.877199328449328464,0.591919216404510506,0.879139194139194169,0.822557997557997522,0.951672771672771645
18,0.87518213268213263,0.5522569968158203,0.927900296870885155,0.876207444516268086,0.98280812324929967
19,0.911620370370370359,0.52790448343079921,0.910440603141841498,0.834907407407407431,0.967156862745098045
20,0.888798753419496435,0.534318455452356345,0.901811473127262619,0.851698527364162072,0.977416580667354706
21,0.892668558651530719,0.479025054466230948,0.912352654512097239,0.811011638573558069,0.952445533769063157
22,0.867249844382197321,0.475357081429062855,0.902972627647550263,0.794017355480203801,0.945055141939816878
23,0.880055244319950192,0.460689816862417501,0.909376320703720098,0.799399356233721603,0.939055440889806192
24,0.872840810919287113,0.455954770415666899,0.911252662126265545,0.790021963573585562,0.982005012531328325
25,0.865000766920271502,0.444618788504237417,0.932282734465397001,0.770645255444017074,0.930435692618355126
26,0.872314352040425511,0.455887028921084625,0.929338225177503641,0.785956953661893776,0.957289292621100407
27,0.854765382934719264,0.401080753871943807,0.884020264484223328,0.751674789465979432,0.94798235157502897
28,0.867476307699419857,0.405088280648921384,0.871984286583828871,0.734934429287976254,0.9070498270269437
29,0.869207247183982457,0.394016451243758614,0.901897976165710658,0.790339027373733738,0.941148432675892654
30,0.865335770001673832,0.373818393277203342,0.914844698525476563,0.755941716432563138,0.955794417634234561
31,0.86214845947340224,0.360108596336285114,0.885637193470145356,0.760582498355953707,0.952404877476959899
32,0.872228644734365566,0.351867684692627469,0.897461646540593905,0.770250365703454953,0.939498568555776736
33,0.859761485160035921,0.342375449295739154,0.895740717682746657,0.773848415674502688,0.947422652227000062
34,0.867338543099412607,0.34889422413335458,0.8916182802704542,0.790403369577282633,0.942092991549513314
35,0.868365868162969567,0.343664204019276498,0.909360648208474287,0.768151826970667528,0.956062295192730005
36,0.886500124180139459,0.343407814252589261,0.917194500092669451,0.798321631994019509,0.96090833643007556
37,0.875468836316662391,0.303493371362936581,0.905837750011663001,0.775931127648519015,0.955071960245873264
38,0.871626050010107956,0.31026477199665603,0.887407135805686531,0.792526927447217311,0.946782481876684789
39,0.879626378544919318,0.293498630749005562,0.906594434412275496,0.77657009877049854,0.948860052722371616
40,0.871471643866776891,0.282931947076076606,0.909873728601058529,0.761607845767927061,0.948988423879228438
41,0.86428003608602022,0.289951233103640793,0.900282374059372614,0.777879049992654448,0.977026459800653391
42,0.864709013888698252,0.293014676972125687,0.903214679852272329,0.784284029327136811,0.941662300236118188
43,0.859207857914754514,0.290870948123821693,0.917403342081502982,0.775463489256592697,0.945070876547888017
44,0.864082748312262616,0.278469774557279171,0.899716267006589576,0.795281518135800614,0.942110318690222326
45,0.852275164116616413,0.272612246780247425,0.912077151481066495,0.754084736727018368,0.932162354775846413
46,0.864607913169926467,0.267603225515952614,0.880097057486657008,0.799473654514301524,0.942443926828057332
47,0.848970809152121753,0.238350711058534559,0.878760731900516845,0.768393972621262189,0.930712956360713162
48,0.864568860997624422,0.262344932582557699,0.922721998153866907,0.813595850374168927,0.962577751914793112
49,0.872893064401148,0.255133205921290185,0.90455524080678662,0.80549798890860036,0.975749093152689762
50,0.846337483731219198,0.240331913064712577,0.902143477971121488,0.788772316201823975,0.954374650851239736
51,0.85720209705563799,0.246349427656620823,0.885775741210066414,0.806442546297616802,0.959820044079638057
52,0.853526140804287237,0.242571788075815586,0.892136361551274626,0.795337899131656312,0.936199460385235716
53,0.862367442279831309,0.232365633478743894,0.882000905065762009,0.803976402162881132,0.950888222020498608
54,0.874774469904543661,0.237196147718882672,0.914136311969648063,0.811336656060368644,0.966411341662764767
55,0.861649796138907131,0.236974377346972714,0.906881094120210562,0.785668160986706665,0.944583833868605671
56,0.846616639864276155,0.223597992864260936,0.932342841267618794,0.795277142876280818,0.959431377422478637
57,0.852373594270350421,0.214466047272719729,0.897088891527892396,0.786013384185372699,0.965139824873556762
58,0.857879616658856703,0.232476284985404597,0.905130174112281138,0.806768610582025314,0.958880568080986873
59,0.867304323354550766,0.210273955562961329,0.894583242349796692,0.798824632970415838,0.947631255698961672
60,0.863461913425843886,0.203037393181507569,0.89818410541440219,0.79595860392869322,0.951544840342156029
61,0.858831460073608222,0.205287591667079217,0.924370051258669334,0.813816553356060735,0.955915407240149895
62,0.864750756565477174,0.207307347316180668,0.910598007514597851,0.786170673632314077,0.953201311636664661
63,0.878743858906444908,0.218589512991348794,0.930950512331182978,0.825037894665133553,0.966377204748147922
64,0.848365127195608748,0.213904654870924582,0.902349671789735908,0.80323146431534842,0.932851768482452881
65,0.860364940937758726,0.208186905654884791,0.925015449263551726,0.807338483580181898,0.930230796375246083
66,0.858751751219730353,0.209026837281106742,0.918966447907387129,0.812742454883109477,0.936210059179698684
67,0.862112015495679174,0.199939114487638903,0.908889835733501461,0.8057772895938905,0.952755177552004229
68,0.85163691127400809,0.196286797501218746,0.906634379350223729,0.800144167716511201,0.959083191844102623
69,0.859773846263160113,0.185388127250643492,0.913025860505824016,0.799733406938165747,0.956599988604507678
70,0.878785877305560348,0.190143189006593299,0.911143833698831118,0.80834841176922767,0.96039195045681014
71,0.855757109503052282,0.181388449840836741,0.919675908572655354,0.805415509689453524,0.95940176121097176
72,0.86566481928312411,0.189279173368908427,0.901365485780007636,0.807001644887529013,0.962859970661828268
73,0.853970338401078388,0.189087239509440647,0.909385520182484086,0.798841980530785145,0.963716162255061626
74,0.865231225069934773,0.185962094215552209,0.915839552483977193,0.817959011263091007,0.968196684587813605
75,0.860673127777340619,0.187808824996532703,0.922338421723105206,0.808289490174929237,0.962450424715299402
76,0.857690317675075309,0.182653759378693797,0.9377516388867988,0.814108511290389747,0.951273890070204908
77,0.869354250586835686,0.183745369188480639,0.931893913345151703,0.828882486059343671,0.951375136618944683
78,0.852745997375614628,0.181535917415201059,0.920556102465064807,0.809527202365090681,0.952043631198042917
79,0.84830006288404125,0.172743091237673285,0.913098120888368614,0.806956045572531644,0.955732966189622557
80,0.855421022572725342,0.171654540091072588,0.915507799594486915,0.812803946194039062,0.96567154545482714
81,0.858668653722833297,0.18035884333097954,0.929319510805578952,0.823230644066557327,0.967344433683442917
82,0.851331822037596386,0.17414790421468368,0.919034250506278738,0.807909475228216656,0.959382152163849922
83,0.86676701998381378,0.181882955732725421,0.903054098280444251,0.824366382014573462,0.954011740243711825
84,0.839641354240812432,0.179890418309535949,0.923809576356016016,0.790022051643568646,0.956207662012615534
85,0.845086088927067269,0.166234590010749056,0.946351831828609602,0.817987327688532329,0.956604679868983343
86,0.854745372856822505,0.157384620268067682,0.92337198607890425,0.807217601996883194,0.935444405424583625
87,0.846217431223442507,0.167801778177533945,0.929536978913158785,0.802371407202656317,0.939367839800521187
88,0.846174126307121077,0.172588415668675055,0.930469278161124791,0.807463735328031618,0.961314926048464469
89,0.866589947245387848,0.16172303866765092,0.930818896136044849,0.815125366886108371,0.954000780529701498
90,0.865736290936682029,0.16209075638987272,0.909506348096445705,0.815106992478995984,0.955502464339375135
91,0.847388631220466926,0.164123932894792962,0.92303163934101029,0.806437273507235042,0.955441469148144318
92,0.860621566384769054,0.159467076051732881,0.930040356164094861,0.811441823673310858,0.954248140555104651
93,0.84812937006862732,0.157346886860449536,0.932811942789517623,0.83243672274568481,0.960442033747553658
94,0.849846806525240361,0.179009050135494285,0.931302382451291266,0.824649238667210405,0.94776821659363375
95,0.864323962741059826,0.158472505161462385,0.932274314619673916,0.827342125758924296,0.970609748212145407
96,0.84796482729660716,0.159573419155938562,0.929550971591212694,0.817897920329828554,0.972254837156606433
97,0.852685609870208472,0.15495798106621464,0.909000587918476044,0.819793876997283233,0.958738039446983548
98,0.856580183687958407,0.155826551458493195,0.939000255355671998,0.837806904538081598,0.957784118881679913
99,0.862797983626789167,0.165111833458849611,0.941240121502383786,0.814323885277851267,0.958672402786054811
100,0.858916679911524095,0.160196429668486712,0.925713243561769428,0.819373523412693761,0.958598963326168008
