m,spef,gwef,geef,owef,oeef
16,0.0604166666666666602,0.341666666666666674,0.077083333333333337,0.133333333333333331,0.0500000000000000028
17,0.100000000000000006,0.341176470588235303,0.0764705882352941235,0.203921568627450978,0.0745098039215686264
18,0.0722222222222222154,0.383333333333333304,0.111111111111111105,0.155555555555555558,0.0870370370370370378
19,0.0824561403508771856,0.435087719298245579,0.105263157894736836,0.187719298245614036,0.077192982456140341
20,0.0883333333333333331,0.419999999999999984,0.0800000000000000017,0.160000000000000003,0.0700000000000000067
21,0.0857142857142857151,0.465079365079365037,0.125396825396825395,0.185714285714285693,0.0952380952380952328
22,0.0863636363636363646,0.469696969696969724,0.134848484848484856,0.199999999999999983,0.0818181818181818177
23,0.120289855072463772,0.485507246376811585,0.139130434782608697,0.16956521739130434,0.114492753623188406
24,0.093055555555555558,0.479166666666666685,0.136111111111111099,0.184722222222222232,0.113888888888888887
25,0.114666666666666667,0.477333333333333332,0.145333333333333342,0.196000000000000008,0.0986666666666666664
26,0.120512820512820515,0.473076923076923062,0.175641025641025655,0.194871794871794873,0.126923076923076916
27,0.180246913580246915,0.539506172839506193,0.156790123456790109,0.198765432098765432,0.146913580246913561
28,0.134523809523809518,0.488095238095238082,0.13690476190476189,0.180952380952380948,0.114285714285714282
29,0.154022988505747138,0.526436781609195381,0.173563218390804602,0.191954022988505751,0.128735632183908044
30,0.153333333333333321,0.525555555555555554,0.168888888888888894,0.196666666666666656,0.158888888888888885
31,0.150537634408602156,0.548387096774193505,0.165591397849462363,0.189247311827956982,0.155913978494623656
32,0.184375000000000011,0.559374999999999956,0.201041666666666674,0.19895833333333332,0.178125000000000006
33,0.173737373737373746,0.58484848484848484,0.199999999999999983,0.207070707070707072,0.154545454545454541
34,0.193137254901960792,0.572549019607843102,0.179411764705882354,0.185294117647058831,0.16960784313725491
35,0.194285714285714284,0.58666666666666667,0.210476190476190483,0.214285714285714274,0.182857142857142857
36,0.181481481481481466,0.55555555555555558,0.213888888888888878,0.162037037037037035,0.165740740740740744
37,0.186486486486486497,0.593693693693693736,0.210810810810810823,0.191891891891891903,0.171171171171171171
38,0.190350877192982437,0.568421052631578938,0.203508771929824556,0.194736842105263153,0.164912280701754371
39,0.2170940170940171,0.609401709401709457,0.239316239316239326,0.227350427350427348,0.202564102564102566
40,0.154166666666666674,0.587500000000000022,0.224166666666666681,0.188333333333333325,0.184999999999999998
41,0.208130081300813008,0.597560975609756073,0.239024390243902429,0.216260162601626033,0.213821138211382128
42,0.20873015873015871,0.612698412698412742,0.246031746031746018,0.191269841269841256,0.201587301587301593
43,0.224031007751937988,0.61395348837209307,0.263565891472868241,0.205426356589147291,0.205426356589147291
44,0.190909090909090917,0.611363636363636331,0.232575757575757575,0.20984848484848484,0.190151515151515155
45,0.205925925925925929,0.591111111111111143,0.253333333333333355,0.202962962962962956,0.19111111111111112
46,0.227536231884057971,0.6123188405797102,0.225362318840579723,0.214492753623188398,0.189855072463768121
47,0.238297872340425543,0.612056737588652533,0.221985815602836867,0.213475177304964542,0.195744680851063835
48,0.24652777777777779,0.609027777777777724,0.268749999999999989,0.215277777777777762,0.220833333333333326
49,0.239455782312925164,0.618367346938775486,0.250340136054421791,0.217006802721088438,0.237414965986394555
50,0.23000000000000001,0.637333333333333307,0.272666666666666668,0.216666666666666674,0.215333333333333349
51,0.221568627450980382,0.62287581699346406,0.263398692810457524,0.230718954248365998,0.233333333333333337
52,0.26282051282051283,0.625641025641025639,0.271794871794871773,0.203846153846153844,0.219230769230769229
53,0.237735849056603776,0.629559748427672927,0.271698113207547165,0.189308176100628944,0.228930817610062898
54,0.248148148148148145,0.640123456790123502,0.275308641975308632,0.229629629629629628,0.225308641975308643
55,0.271515151515151487,0.612727272727272676,0.300606060606060599,0.235757575757575749,0.232121212121212117
56,0.255357142857142838,0.622619047619047628,0.3125,0.210714285714285715,0.239285714285714268
57,0.273099415204678342,0.61871345029239766,0.289473684210526327,0.214035087719298245,0.270760233918128645
58,0.251149425287356343,0.645977011494252906,0.298275862068965503,0.216666666666666674,0.245402298850574713
59,0.27344632768361582,0.65254237288135597,0.266101694915254261,0.220903954802259883,0.229378531073446329
60,0.279999999999999971,0.650000000000000022,0.273333333333333317,0.214444444444444438,0.236111111111111105
61,0.271584699453551903,0.64863387978142073,0.304371584699453579,0.245355191256830613,0.243169398907103818
62,0.279569892473118253,0.62150537634408598,0.301612903225806472,0.251612903225806428,0.238709677419354838
63,0.269841269841269826,0.651322751322751303,0.322222222222222188,0.221164021164021146,0.267724867724867699
64,0.292708333333333348,0.63802083333333337,0.307812499999999989,0.189062499999999994,0.226041666666666669
65,0.235384615384615387,0.630769230769230749,0.311282051282051275,0.210256410256410259,0.199487179487179506
66,0.309090909090909083,0.624242424242424265,0.342424242424242409,0.235858585858585851,0.243434343434343448
67,0.277114427860696511,0.656218905472636838,0.293532338308457708,0.218407960199004963,0.261691542288557233
68,0.286764705882352922,0.653431372549019618,0.310784313725490202,0.226960784313725489,0.281372549019607843
69,0.280676328502415473,0.668599033816425159,0.298550724637681175,0.192753623188405804,0.252657004830917853
70,0.31238095238095237,0.680952380952380976,0.311904761904761907,0.250952380952380927,0.270000000000000018
71,0.280751173708920165,0.643661971830985946,0.319718309859154948,0.20892018779342722,0.259154929577464777
72,0.288425925925925919,0.659259259259259323,0.293981481481481455,0.216666666666666674,0.260648148148148129
73,0.279908675799086737,0.62328767123287665,0.289497716894977164,0.209132420091324184,0.267123287671232834
74,0.277477477477477474,0.656306306306306264,0.318018018018018045,0.207657657657657674,0.285585585585585611
75,0.305333333333333345,0.64844444444444449,0.328888888888888897,0.210666666666666669,0.288444444444444448
76,0.295614035087719274,0.647368421052631593,0.364473684210526339,0.214035087719298245,0.267105263157894735
77,0.284415584415584399,0.641125541125541099,0.321212121212121227,0.219913419913419922,0.239826839826839833
78,0.327777777777777779,0.658547008547008539,0.341880341880341887,0.220940170940170932,0.286752136752136733
79,0.306329113924050656,0.643881856540084341,0.332489451476793263,0.225738396624472565,0.293670886075949378
80,0.275833333333333319,0.64249999999999996,0.33500000000000002,0.216249999999999998,0.286666666666666681
81,0.28847736625514403,0.64238683127572016,0.35967078189300411,0.242386831275720138,0.295473251028806561
82,0.355691056910569126,0.660162601626016254,0.334552845528455267,0.270731707317073189,0.30609756097560975
83,0.321285140562248994,0.630120481927710863,0.302409638554216875,0.221285140562248989,0.275100401606425682
84,0.298809523809523803,0.680158730158730185,0.349206349206349242,0.241269841269841273,0.289682539682539708
85,0.312156862745098018,0.660392156862745106,0.349411764705882366,0.203137254901960773,0.243137254901960781
86,0.288372093023255838,0.687209302325581417,0.387596899224806224,0.239147286821705413,0.255426356589147308
87,0.280459770114942553,0.659770114942528796,0.349042145593869757,0.21187739463601532,0.244827586206896569
88,0.297727272727272729,0.681818181818181768,0.359090909090909072,0.218181818181818199,0.302651515151515171
89,0.331835205992509374,0.682022471910112338,0.349438202247191021,0.250936329588014984,0.288764044943820242
90,0.28370370370370368,0.65481481481481485,0.332592592592592606,0.219629629629629619,0.281481481481481499
91,0.331135531135531125,0.645054945054945095,0.335897435897435925,0.207326007326007339,0.271062271062271043
92,0.297101449275362306,0.670289855072463747,0.36123188405797102,0.202173913043478259,0.277173913043478271
93,0.325448028673835099,0.663440860215053774,0.349820788530465943,0.207168458781362003,0.301433691756272382
94,0.377304964539007082,0.639361702127659526,0.380851063829787229,0.236524822695035469,0.30248226950354612
95,0.323859649122807014,0.666315789473684195,0.357894736842105265,0.221052631578947362,0.322807017543859653
