m,sprevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,0.885139870128960005,0.913007941062326078,0.900649028090279802,0.924768006325297764,0.91830594573110913
3,0.820304466086862472,0.867626877314637723,0.84103836055023351,0.876388173489788369,0.851236892528751343
4,0.755468997996929237,0.810835354301594702,0.788565213088790018,0.819868992463932522,0.800522614227897944
5,0.730054394111938065,0.77709692666133412,0.762936640974561597,0.784189257345500934,0.776063258615731777
6,0.707862056027789399,0.749988751800971354,0.740557957140164924,0.765559701695919248,0.760381553142621347
7,0.691787168454278678,0.733619139254529151,0.72815526918701412,0.746249225757171786,0.739741620431905944
8,0.675061410749371871,0.735510082153510103,0.725973943789837928,0.75985371853242567,0.75840306075358821
9,0.663344772312104314,0.717105488445802242,0.717406696897613938,0.737048588787196257,0.733361149903421827
10,0.643634719356482754,0.694509841711375087,0.701275021275047816,0.715440626716951189,0.713318451208404092
