m,spef,gwef,geef,owef,oeef
2,0,0.0277777777777777762,0.0236111111111111105,0.0222222222222222231,0.0166666666666666664
3,0.00185185185185185171,0.0324074074074074056,0.018518518518518521,0.0231481481481481503,0.018518518518518521
4,0.00555555555555555663,0.0270833333333333377,0.0284722222222222217,0.0187500000000000028,0.0222222222222222265
5,0.00055555555555555588,0.0200000000000000039,0.0144444444444444455,0.00944444444444444454,0.0122222222222222229
6,0.00277777777777777832,0.0180555555555555539,0.0101851851851851843,0.0148148148148148136,0.00648148148148148043
7,0.00436507936507936432,0.0119047619047619058,0.0107142857142857127,0.00595238095238095205,0.00912698412698412752
8,0.00208333333333333374,0.0166666666666666664,0.00677083333333333443,0.00364583333333333382,0.00312500000000000061
9,0.00231481481481481512,0.0111111111111111115,0.00462962962962962937,0.00462962962962962937,0.00416666666666666661
10,0.00375000000000000029,0.0149999999999999994,0.00333333333333333311,0.0058333333333333336,0.000833333333333333495
