m,aptime,ustime,gwtime,getime,owtime,oetime
2,1.53588866666666676e-05,2.9384513333333335e-05,7.83775999999999863e-06,7.36825333333333229e-06,0.00779207345333333273,0.00754718446666666643
3,1.73095888888888888e-05,5.25230333333333386e-05,9.05300000000000125e-06,8.19638888888888773e-06,0.00804651359999999927,0.00787571959999999911
4,2.04088833333333337e-05,8.69889833333333266e-05,1.24606000000000006e-05,1.07547000000000006e-05,0.00826040180000000082,0.00803045529999999938
5,2.10549833333333308e-05,0.000124369116666666658,1.23021000000000003e-05,1.18953999999999996e-05,0.0105883718333333321,0.00901638150000000013
6,2.22735999999999997e-05,0.000174293800000000008,1.26481333333333335e-05,1.14880000000000008e-05,0.00853056353333333378,0.00844972159999999965
7,2.56840666666666669e-05,0.000237886100000000013,1.51762666666666673e-05,1.41598999999999997e-05,0.00877148206666666756,0.00838767873333333414
8,2.66886000000000006e-05,0.000292085900000000015,1.57147000000000005e-05,1.44490666666666669e-05,0.00895408450000000078,0.00866251783333333268
9,3.19955000000000022e-05,0.000397318933333333328,1.92203999999999998e-05,1.68153999999999983e-05,0.00874961879999999921,0.00855538553333333278
10,3.15585999999999997e-05,0.000466350066666666686,2.01224333333333324e-05,1.74363666666666679e-05,0.00928530306666666694,0.00888051240000000026
