n,spefloss,gwefloss,geefloss,owefloss,oeefloss
4,0.00298860384309731749,0.0469059443637949297,0.00800190327477556113,0.0121762999067128279,0.0145918197275266628
5,0.0158443346923960171,0.0393018217925892588,0.00773803706603828911,0.0150050730760879145,0.00682625995987425765
6,0.00516065492251730103,0.0466620799339952305,0.00388476595973437366,0.0107073338537005888,0
7,0.00315422696236417792,0.0269691281150702782,0.0141694607853673632,0.0207753371774676253,0.00768985373357876107
8,0.00493723117335771212,0.0187423878904880992,0.012234327988221938,0.0100225990278481752,0.00327649946120790216
9,0.00315033816047988234,0.0307716078873341813,0.0135158233957698524,0.0112681992744881922,0.00893049460092843264
10,0.003936186383717016,0.0148502192537367742,0.0116306361560892298,0.00938047427530368585,0.0105915212483107448
