n,spmc,gwmc,gemc,owmc,oemc
4,0.46875,0.302083333333333315,0.310416666666666674,0.329166666666666663,0.339583333333333348
5,0.490000000000000047,0.318333333333333357,0.32999999999999996,0.331666666666666665,0.353333333333333277
6,0.573611111111111072,0.413888888888888862,0.418055555555555569,0.454166666666666663,0.46527777777777779
7,0.607142857142857095,0.476190476190476164,0.477380952380952461,0.498214285714285665,0.501785714285714279
8,0.606250000000000067,0.491145833333333337,0.501562500000000022,0.508854166666666607,0.509895833333333326
9,0.660648148148148096,0.500925925925925886,0.518055555555555491,0.552314814814814814,0.55555555555555558
10,0.661666666666666736,0.559166666666666701,0.563055555555555531,0.578055555555555656,0.586666666666666559
