n,spmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0.326388888888888895,0.193241377083417126,0.186204979112856744,0.17768130059751322,0.173254209824938915
3,0.428703703703703642,0.297812600305726705,0.294836076676806003,0.259797125593499711,0.260687048392285348
4,0.538541666666666696,0.466174248669501412,0.466043069489896655,0.426031845465236925,0.438832608980625594
5,0.556666666666666643,0.4808069442334858,0.489022165300780465,0.465693317725104583,0.465655438491690554
6,0.590972222222222232,0.514758952367275646,0.516342448111486108,0.501759473910514231,0.502944136449316681
7,0.623809523809523814,0.554071490888515594,0.557872383602085131,0.566969742687934319,0.565554769091370257
8,0.634375000000000022,0.570758568111966014,0.588329669480702311,0.589461048017855482,0.593840273497491578
9,0.600925925925925974,0.54128994732864355,0.538704802283279216,0.556259264690933675,0.561671060032426728
10,0.675000000000000044,0.608600806640920533,0.618279663190920425,0.640371466355709518,0.647899316758477006
