n,spwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
4,0.797715508957665742,0.829850758020478807,0.833188765829676159,0.833924318719481805,0.831520909293350652
5,0.803197642574655979,0.843502320837688502,0.828442077877113991,0.858644989392308711,0.844899432739651624
6,0.798671876490092525,0.82191447917448579,0.819220110602651541,0.836447875986030986,0.834494599754234567
7,0.777274302246517612,0.798025298560935958,0.800172160549173062,0.817360615601746554,0.813879640182507358
8,0.790919688614543093,0.804635962781248493,0.800308055719384792,0.82424833491675753,0.825035363713735093
9,0.774136107469090784,0.810608264548417279,0.803009385610444215,0.822482299827821617,0.820034391458349665
10,0.773689198370744347,0.789325010828172857,0.784435240024350722,0.807771346981683291,0.799547569398892377
