n,spwinners,gwwinners,gewinners,owwinners,oewinners
2,0.406359126984126962,0.44348214285714288,0.45299272486772485,0.454797178130511515,0.455788139329805997
3,0.419650573192239917,0.447428350970017652,0.455419973544973489,0.477126322751322718,0.477298280423280374
4,0.355300925925925881,0.36336970899470894,0.36477843915343916,0.368786375661375676,0.363667328042328042
5,0.358888888888888868,0.370734126984126944,0.376792328042327984,0.380218253968253928,0.380886243386243384
6,0.37057870370370366,0.381577380952380973,0.383144841269841219,0.390684523809523787,0.391240079365079318
7,0.345555555555555505,0.343333333333333324,0.347777777777777741,0.342222222222222205,0.351666666666666683
8,0.351666666666666683,0.35750000000000004,0.34194444444444444,0.351111111111111096,0.346388888888888913
9,0.396666666666666612,0.394166666666666665,0.403333333333333321,0.39583333333333337,0.393888888888888844
10,0.327777777777777779,0.330555555555555547,0.325833333333333364,0.329444444444444484,0.321388888888888891
