n,spmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
4,0.46875,0.213054674854955217,0.210071371198113976,0.235789067947297953,0.245818784258772599
5,0.490000000000000047,0.229426866641485289,0.23957113683723974,0.239295388676520782,0.247421556081304117
6,0.573611111111111072,0.299068755028021604,0.315929458467901381,0.349724334711655871,0.357362749872165653
7,0.607142857142857206,0.41740524006645241,0.421292875395874677,0.457942864113503156,0.465481034036250407
8,0.606250000000000067,0.444486732740434265,0.456538089503428113,0.466233503811148087,0.468269535362259459
9,0.660648148148148096,0.450488980121489191,0.46779903676673934,0.523679658343526477,0.526982278260224701
10,0.661666666666666736,0.532626926264354039,0.534870575187562092,0.568899096779358349,0.574962759404467949
