n,spmc,gwmc,gemc,owmc,oemc
2,0.326388888888888895,0.247222222222222232,0.237499999999999961,0.234722222222222193,0.230555555555555541
3,0.428703703703703642,0.333333333333333315,0.332407407407407374,0.286111111111111094,0.288888888888888862
4,0.538541666666666696,0.477083333333333304,0.478124999999999967,0.434375000000000067,0.446875000000000022
5,0.556666666666666643,0.491666666666666752,0.492500000000000104,0.467499999999999971,0.468333333333333379
6,0.590972222222222232,0.514583333333333282,0.514583333333333282,0.504166666666666652,0.506250000000000089
7,0.623809523809523814,0.552380952380952417,0.555952380952380976,0.565476190476190466,0.564285714285714279
8,0.634375000000000022,0.566666666666666652,0.584374999999999978,0.587500000000000022,0.592708333333333393
9,0.600925925925925974,0.537037037037036979,0.534259259259259212,0.55555555555555558,0.561111111111111116
10,0.675000000000000044,0.602500000000000036,0.612500000000000044,0.637499999999999956,0.645000000000000018
