n,spef,gwef,geef,owef,oeef
4,0.00333333333333333268,0.0158333333333333312,0.00166666666666666699,0.00333333333333333268,0.00416666666666666661
5,0.00499999999999999924,0.0141666666666666677,0.00250000000000000049,0.00416666666666666748,0.00416666666666666748
6,0.00333333333333333441,0.0158333333333333312,0.00416666666666666661,0.00333333333333333311,0
7,0.00333333333333333398,0.0150000000000000012,0.0079166666666666656,0.00833333333333333495,0.00458333333333333336
8,0.00166666666666666656,0.00958333333333333259,0.0079166666666666656,0.00583333333333333447,0.00374999999999999943
9,0.00250000000000000049,0.0112500000000000013,0.00666666666666666709,0.00625000000000000035,0.00416666666666666748
10,0.00250000000000000049,0.00666666666666666709,0.00555555555555555663,0.0050000000000000001,0.00583333333333333273
