n,sptime,gwtime,getime,owtime,oetime
4,0.000525560933333333365,0.006017939525,0.00579278260000000086,0.172848254266666668,0.147097753424999977
5,0.000650809933333333385,0.00696440465833333272,0.00672564100833333324,0.211989265024999984,0.169603347816666666
6,0.000693207750000000085,0.0077738436000000001,0.00945247852500000034,0.289175169708333346,0.19571119611666668
7,0.000841243962500000039,0.0105888923125000006,0.00937016426666666472,0.29273379592500004,0.206214947958333339
8,0.000923917325000000013,0.0113671771166666668,0.0101189644666666682,0.282990881229166602,0.232823654079166664
9,0.00112684054166666664,0.0124747289625000007,0.0114617042124999999,0.321024407141666634,0.229971025220833347
10,0.00115986580277777757,0.0149977271083333325,0.0140853221333333348,0.306833558352777758,0.234044357977777812
