2,2,0.25,1,28.4686805215974,7.29435265,0.09,0.045,0.01,28.4686805215974,2.65485183,0.09,0.045,0.01,20.4217546902374,0.15911022
2,2,0.5,0.998074480706013,45.779612206086,9.63635822,0.16,0.08,0.00999999999999999,45.7205817443117,2.75188077,0.16,0.08,0,27.3155447153008,0.17592771
2,2,0.75,0.998102320652792,50.794906897127,13.43606839,0.38,0.19,0.04,50.7087747050146,2.31474013,0.38,0.19,0.01,37.3399817407538,0.20002277
2,2,1,0.988989122271903,59.8232358242233,29.3179169,0.38,0.19,0.05,58.8808571679758,2.71060565,0.38,0.19,0.01,47.1018717650916,0.23305269
2,3,0.25,0.995362207130429,39.0073700777767,8.12336635,0.06,0.03,0.03,38.82001156945,3.25372074,0.06,0.03,0,24.4705083367562,0.18988042
2,3,0.5,0.995931582818688,53.8257477890452,10.24780139,0.17,0.085,0.03,53.4437197363231,3.73706905,0.17,0.085,0.02,45.2964825843144,0.2098461
2,3,0.75,0.996345024769425,62.5323928959819,35.45279729,0.21,0.105,0.06,62.6993542522498,2.64079649,0.21,0.105,0.05,61.354306686067,0.22882503
2,3,1,0.983498804419028,65.8293442975993,39.74027187,0.21,0.105,0.15,64.410670715352,2.73179917,0.21,0.105,0.05,60.2099925981615,0.24899932
2,4,0.25,0.986792098331879,43.3765347856291,9.08569297,0.11,0.055,0.06,42.497448722505,2.19146976,0.11,0.055,0.00999999999999999,32.7752450505156,0.17635443
2,4,0.5,0.993183918772011,70.5138303356821,21.06325007,0.12,0.06,0.06,72.4331972856246,2.63910133,0.12,0.06,0.0500000000000001,64.1302112118349,0.21476503
2,4,0.75,0.962600875624005,83.2898503755069,38.10799558,0.17,0.085,0.21,80.8203557314178,2.76430173,0.17,0.085,0.11,70.5030762762389,0.25403369
2,4,1,0.958052565449644,83.3385417055726,39.05084124,0.17,0.085,0.34,77.9380678386859,3.43506685,0.17,0.085,0.17,77.8975243264808,0.27196155
2,5,0.25,0.997349308798791,52.9590079529884,8.6289802,0.08,0.04,0.02,52.7493653224114,3.10122305,0.08,0.04,0,38.3800664166442,0.1866923
2,5,0.5,0.974963286853297,74.0811887374277,17.16900665,0.13,0.065,0.12,72.5740645849664,3.11951841,0.13,0.065,0.1,63.5641213947392,0.24086142
2,5,0.75,0.969484312736915,95.2449145794845,42.02837071,0.09,0.045,0.26,92.6945989930341,2.88268228,0.09,0.045,0.15,103.966615488284,0.2656508
2,5,1,0.985688936208653,99.0087785168714,41.18902714,0.14,0.07,0.38,96.041881250351,2.62873988,0.14,0.07,0.29,103.81925797523,0.28659109
2,6,0.25,0.98298075342964,66.0581885439502,12.38726622,0.08,0.04,0.13,65.6110883385491,2.83378174,0.08,0.04,0.05,55.4649186817007,0.23236786
2,6,0.5,0.9764546692295,80.8847815037696,22.81674051,0.08,0.04,0.16,81.5919808422954,2.69358602,0.08,0.04,0.08,77.2138386870685,0.25722247
2,6,0.75,0.960439984303557,95.9787499870135,40.94819667,0.04,0.02,0.36,91.9956627938058,2.75816372,0.04,0.02,0.28,100.717655024034,0.30286114
2,6,1,0.963336804253591,101.263530224457,49.89244599,0.09,0.045,0.64,94.7634712699628,3.45729512,0.09,0.045,0.44,107.11756004828,0.32668264
2,7,0.25,0.995998296921808,73.6141141737613,13.03628207,0.09,0.045,0.06,73.4522945355437,2.25478652,0.09,0.045,0.04,61.0515705115544,0.20761168
2,7,0.5,0.973313305601583,88.7982300477903,35.77050939,0.1,0.05,0.31,88.6280659201961,2.66153569,0.1,0.05,0.13,95.6455018032546,0.26987252
2,7,0.75,0.962129979943674,102.093271911523,44.60563288,0.08,0.04,0.51,99.0200049671682,3.40737751,0.08,0.04,0.35,118.755241660334,0.36529621
2,7,1,0.979686596922041,104.788895574879,52.42582183,0.05,0.025,0.44,99.9396444227041,2.5702838,0.05,0.025,0.39,118.730578313558,0.32953452
2,8,0.25,0.970146977714292,70.8979227749099,16.02041352,0.08,0.04,0.15,71.2327734655075,2.57484844,0.08,0.04,0.05,59.2114384087922,0.21872452
2,8,0.5,0.978856233158147,96.0077407951634,38.74566923,0.1,0.05,0.34,93.2973454607319,2.92690723,0.1,0.05,0.28,106.99495108062,0.2965011
2,8,0.75,0.97361351497549,108.470868621159,54.43165024,0.03,0.015,0.63,108.208212233194,2.95590727,0.03,0.015,0.43,140.569724996215,0.31931896
2,8,1,0.964456309680488,113.674832952218,65.57053893,0.09,0.045,0.88,106.68079986515,2.60634622,0.09,0.045,0.7,116.689392131932,0.33381126
2,9,0.25,0.985616716483932,64.2065423680226,14.21031829,0.08,0.04,0.12,64.7843396376131,2.59889417,0.08,0.04,0.09,62.4190403406573,0.23589263
2,9,0.5,0.961354864959146,118.863947201366,39.68812218,0.05,0.025,0.37,113.530980619777,2.46944498,0.05,0.025,0.24,133.727360420482,0.33657567
2,9,0.75,0.949164598413377,119.814997396275,49.77106655,0,0,0.52,116.51819645715,2.52817028,0,0,0.45,133.23416463988,0.33405972
2,9,1,0.974815852067431,126.196165827759,60.02277909,0.05,0.025,0.95,115.915043135185,2.93736912,0.05,0.025,0.82,151.887885805821,0.40943442
2,10,0.25,0.974974093544429,78.4384991534301,18.62710234,0.07,0.035,0.15,78.8313779184199,2.48776135,0.07,0.035,0.04,73.0653306297345,0.24770765
2,10,0.5,0.94409686329854,110.806301576961,44.26872167,0.07,0.035,0.52,107.282136915127,2.48597903,0.07,0.035,0.45,127.576667194102,0.31992461
