n,m,p,maxweqrevenue,maxweqtime,evpapprevenue,evpapptime,lprevenue,lptime,lpweviolations,lpwerelativeviolations,lpefviolations
2,2,0.25,39.7625265861353,0.08316622,43.0025880336193,0.09204145,43.5166199726024,1.82342394,0.06,0.03,0
2,2,0.5,57.6212083078381,0.0746665,61.2140322543153,0.0941604899999999,61.8206278543585,1.30050213,0.09,0.045,0
2,2,0.75,76.7255411166567,0.07690369,78.4400693112772,0.10160471,78.3128102380088,1.38710088,0.05,0.025,0
2,2,1,68.6089154517231,0.07499185,77.7491806777184,0.0896031199999999,68.6089154517231,1.36387903,0,0,0
2,3,0.25,56.8512166413531,0.0732203000000001,56.8837209657585,0.1109762,58.0301085730924,1.32534214,0.02,0.01,0
2,3,0.5,80.0200456011554,0.07725643,79.6588074998576,0.09399377,82.105186193864,1.34172722,0.03,0.015,0
2,3,0.75,106.227189331827,0.07653303,96.6796373427514,0.0915625100000001,106.227189331827,1.4369464,0,0,0
2,3,1,100.529021326523,0.07467421,96.6199561703189,0.09202032,100.529021326523,1.3893554,0,0,0
2,4,0.25,70.119502518443,0.0738111599999999,71.4531993472316,0.09357389,74.6862296186077,1.25449249,0.07,0.035,0
2,4,0.5,97.5262307949195,0.0764464200000001,88.6901876969424,0.09409258,100.726108210717,1.32224436,0.05,0.025,0
2,4,0.75,128.202250583884,0.07734135,113.100051693759,0.09500468,128.202250583884,1.35235599,0,0,0
2,4,1,124.777664625628,0.0787823299999999,118.662047329776,0.0941052800000001,124.777664625628,1.40498263,0,0,0
2,5,0.25,79.913222942964,0.0736838000000001,75.8086930317562,0.0946881199999999,81.6896729716103,1.32386378,0.02,0.01,0
2,5,0.5,121.114684865752,0.07612503,105.103697775071,0.0915175300000001,121.114684865752,1.30349211,0,0,0
2,5,0.75,135.463186455821,0.07734393,117.47302228834,0.0952946500000001,135.463186455821,1.33730601,0,0,0
2,5,1,131.989488681487,0.0773854499999999,121.977706734684,0.0964910300000001,131.989488681487,1.42922521,0,0,0
2,6,0.25,104.854812609662,0.07578793,96.9785096336844,0.0947721500000001,105.845061479326,1.29426344,0.03,0.015,0
2,6,0.5,135.09255475268,0.07645554,113.299787364277,0.094366,135.09255475268,1.33565275,0,0,0
2,6,0.75,143.318340466391,0.0789451300000001,120.497676383135,0.0958640799999999,143.318340466391,1.35458349,0,0,0
2,6,1,142.940007759841,0.0767168699999999,131.041416290667,0.09576594,142.940007759841,1.39206003,0,0,0
2,7,0.25,104.81082525813,0.0767160500000001,96.7593501221589,0.0976797600000001,105.683100602652,1.29855232,0.01,0.005,0
2,7,0.5,142.429945623635,0.07996629,122.206141561067,0.09888698,142.429945623635,1.31431774,0,0,0
2,7,0.75,152.671277856983,0.07753061,127.06724845034,0.0971924499999999,152.671277856983,1.33422956,0,0,0
2,7,1,152.544317516011,0.0775064,131.710657306191,0.0976808299999999,152.544317516011,1.34470434,0,0,0
2,8,0.25,112.533364166133,0.0779511999999999,102.620400640732,0.09663191,113.467579318274,1.33572719,0.01,0.005,0
2,8,0.5,143.266619769667,0.0780613699999999,125.4208594402,0.0985912199999999,143.266619769667,1.47738948,0,0,0
2,8,0.75,153.310140123814,0.0779252299999999,132.391795364807,0.0975906199999999,153.310140123814,1.3752166,0,0,0
2,8,1,153.763971009905,0.07822297,132.664023055374,0.09873102,153.763971009905,1.3532361,0,0,0
2,9,0.25,119.931234161205,0.0780345,104.650546269353,0.0981020300000001,119.931234161205,1.29912244,0,0,0
2,9,0.5,153.751379825817,0.07697969,127.220628571277,0.09859732,153.751379825817,1.36943698,0,0,0
2,9,0.75,159.621336228948,0.07881114,141.793397158955,0.09975116,159.621336228948,1.33912591,0,0,0
2,9,1,160.692497525657,0.0775469,147.070612491615,0.10002743,160.692497525657,1.36852435,0,0,0
2,10,0.25,126.263175853732,0.0763605100000001,105.827895107377,0.10107956,126.475343105589,1.38796417,0.02,0.01,0
2,10,0.5,157.089586905666,0.07910832,136.68007331143,0.10110802,157.089586905666,1.31967036,0,0,0
2,10,0.75,165.53457264149,0.0781915200000001,143.710031022557,0.09922716,165.53457264149,1.37256612,0,0,0
2,10,1,161.14798591888,0.07808172,141.732417762037,0.0999895599999999,161.14798591888,1.33227408,0,0,0
2,11,0.25,129.934801431765,0.0772765799999999,114.85515731206,0.10285429,130.513197606591,1.38350058,0.00999999999999999,0.005,0
2,11,0.5,160.813679048613,0.0780578400000001,133.152606637814,0.10277036,160.813679048613,1.28451076,0,0,0
2,11,0.75,165.162416251911,0.07927596,141.810483924825,0.10210274,165.162416251911,1.35289012,0,0,0
2,11,1,168.003332728573,0.08001597,148.44719949343,0.10224128,168.003332728573,1.38240369,0,0,0
2,12,0.25,138.350551234288,0.0792194799999999,125.551053570277,0.10312179,138.350551234288,1.28830641,0,0,0
2,12,0.5,161.175945587442,0.07884386,137.469525834672,0.1027538,161.175945587442,1.34602961,0,0,0
2,12,0.75,172.191513877059,0.0790085,139.581743477778,0.10276335,172.191513877059,1.38631333,0,0,0
2,12,1,172.838272357018,0.07884972,148.042186769255,0.1019403,172.838272357018,1.40275524,0,0,0
2,13,0.25,135.328728067413,0.0780176,117.945819022493,0.10560908,135.328728067413,1.29421068,0,0,0
2,13,0.5,162.465920095782,0.07864278,143.69805907234,0.10382731,162.465920095782,1.31455742,0,0,0
2,13,0.75,170.471670501823,0.0810629499999999,142.585343143724,0.10618169,170.471670501823,1.40503329,0,0,0
2,13,1,173.828525738531,0.08105372,151.579905966484,0.10679827,173.828525738531,1.41468217,0,0,0
