n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2,lpefficiency,lprevenue,lptime,lpwe1,lpwe2
2,9,0.25,1,56.0720999999997,5.43794324,0,0,0.994982945497367,119.0633273,0.13339072,0,0.19,1,117.0955194,0.01819268,0,0,0.994982945497367,119.0633273,4.290941,0,0.19
2,9,0.5,1,115.289500000002,9.49672979000001,0,0,0.995159631815757,153.7349217,0.14438227,0,0.03,1,153.1659267,0.01652764,0,0,0.995159631815757,153.7349217,4.52087263,0,0.03
2,9,0.75,1,134.121500000002,13.02238233,0,0,1,164.1240427,0.15387416,0,0,1,164.1240427,0.01779582,0,0,1,164.1240427,4.30953989,0,0
2,9,1,1,138.166900000001,14.08763379,0,0,1,158.3653538,0.15093594,0,0,1,158.3653538,0.01786037,0,0,1,158.3653538,4.66170193,0,0
2,10,0.25,1,67.9690000000005,5.9856962,0,0,0.996540085643292,125.4424415,0.16196784,0,0.17,1,123.6844256,0.01783274,0,0,0.996540085643292,125.4424415,4.19585664,0,0.17
2,10,0.5,1,121.829600000001,11.01546101,0,0,0.997039615970124,156.2744755,0.1557709,0,0.02,1,156.1227266,0.01850447,0,0,0.997039615970124,156.2744755,4.50885795,0,0.02
2,10,0.75,1,140.902300000003,14.15738746,0,0,1,167.5180799,0.16163798,0,0,1,167.5180799,0.01833407,0,0,1,167.5180799,4.3080916,0,0
2,10,1,1,146.460200000004,15.26273642,0,0,1,163.6719854,0.1622342,0,0,1,163.6719854,0.01785314,0,0,1,163.6719854,4.41110532000001,0,0
2,11,0.25,1,72.0918000000004,6.0890891,0,0,0.991060235586597,125.836901,0.13533991,0,0.13,1,125.1931077,0.01768995,0,0,0.991060235586597,125.836901,4.1559581,0,0.13
2,11,0.5,1,129.010600000003,12.07734412,0,0,0.997184809769053,162.3144282,0.1575978,0,0.01,1,162.1514633,0.01763191,0,0,0.997184809769053,162.3144282,4.18196733,0,0.01
2,11,0.75,0.99999974770437,146.456800000004,15.26125293,0,0,1,168.204828,0.16848091,0,0,1,168.204828,0.01755791,0,0,1,168.204828,4.63747981,0,0
2,11,1,1,148.079000000006,17.08242518,0,0,1,166.8516566,0.162507,0,0,1,166.8516566,0.01757066,0,0,1,166.8516566,4.4375411,0,0
2,12,0.25,1,77.424400000001,7.10181824,0,0,0.992159653652579,132.8029922,0.13965289,0,0.15,1,132.1234485,0.01764609,0,0,0.992159653652579,132.8029922,3.85866903,0,0.15
2,12,0.5,1,132.225400000003,13.02124037,0,0,1,162.9372502,0.1567416,0,0,1,162.9372502,0.01774643,0,0,1,162.9372502,4.24794044,0,0
2,12,0.75,1,150.786900000006,16.89060481,0,0,1,170.6577116,0.16308542,0,0,1,170.6577116,0.01774985,0,0,1,170.6577116,4.27772347,0,0
2,12,1,1,155.996700000007,18.18974833,0,0,1,169.5547802,0.15941783,0,0,1,169.5547802,0.01693758,0,0,1,169.5547802,4.53487024,0,0
2,13,0.25,1,92.1898000000016,8.171129,0,0,1,139.6748683,0.14584182,0,0.04,1,139.6748683,0.01841387,0,0,1,139.6748683,4.13861203,0,0.04
2,13,0.5,1,138.020300000003,15.3754516,0,0,1,164.6625016,0.16222572,0,0,1,164.6625016,0.01954873,0,0,1,164.6625016,4.3864175,0,0
2,13,0.75,1,147.946300000005,17.96372003,0,0,1,168.6211764,0.16666164,0,0,1,168.6211764,0.01765431,0,0,1,168.6211764,4.48888989,0,0
2,13,1,1,156.182700000007,19.34797208,0,0,1,169.9950916,0.16259703,0,0,1,169.9950916,0.0234351,0,0,1,169.9950916,4.33851296,0,0
