n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
2,11,0.5,1,0.770641791848977,12.05972197,0,0,1,0.993453819443509,0.19467993,0,0,1,0.993453819443509,0.02001449,0,0
2,11,0.75,1,0.871994028928575,16.9269115,0,0,1,0.995981582700578,0.18885695,0,0,1,0.995981582700578,0.01985801,0,0
2,11,1,1,0.916760733249501,19.33126183,0,0,1,0.998189290426209,0.19935144,0,0,1,0.998189290426209,0.0184579,0,0
2,12,0.25,1,0.564420104589612,7.15225106,0,0,0.99761654172552,0.987598945562297,0.16049981,0,0.03,1,0.980740586266688,0.03735929,0,0
2,12,0.5,1,0.815424738598221,13.91303867,0,0,1,0.9964240977421,0.18111857,0,0,1,0.9964240977421,0.01979435,0,0
2,12,0.75,1,0.884842186442683,17.43743416,0,0,1,0.996838463742124,0.18473742,0,0,1,0.996838463742124,0.02036312,0,0
2,12,1,1,0.91480439032753,20.73339027,0,0,1,0.997871884682411,0.19733391,0,0,1,0.997871884682411,0.02005955,0,0
2,13,0.25,1,0.647215928964857,8.61370572,0,0,0.999436733767258,0.999264010143,0.16550599,0,0.03,1,0.991436268110672,0.01942859,0,0
2,13,0.5,1,0.847816617749925,16.20596693,0,0,0.999554417111412,0.997736562889451,0.19011965,0,0.005,1,0.997656424596543,0.02015749,0,0
2,13,0.75,1,0.885578082080801,19.50278399,0,0,1,0.998431861747522,0.19499111,0,0,1,0.998431861747522,0.01963162,0,0
2,13,1,1,0.922922182615377,22.47132232,0,0,1,0.999080673894907,0.20085106,0,0,1,0.999080673894907,0.01943149,0,0
2,14,0.25,1,0.646238230282149,10.86048935,0,0,0.998933433273411,0.992420039133627,0.16212066,0,0.04,1,0.984515064057067,0.0461792,0,0
2,14,0.5,1,0.829056634760327,17.01604707,0,0,1,0.999932544816278,0.18851351,0,0,1,0.999932544816278,0.02126083,0,0
2,14,0.75,1,0.89402322307872,21.29444018,0,0,1,0.999033465694816,0.30805144,0,0,1,0.999033465694816,0.02199073,0,0
2,14,1,1,0.922495562285267,25.43352544,0,0,1,0.998865445040479,0.18751111,0,0,1,0.998865445040479,0.02101734,0,0
2,15,0.25,1,0.643769183501304,10.00151666,0,0,1,0.993937508291788,0.15840709,0,0.02,1,0.993937508291788,0.03501138,0,0
2,15,0.5,1,0.859575653272185,16.86363236,0,0,1,0.997210386407899,0.19682555,0,0,1,0.997210386407899,0.01988663,0,0
2,15,0.75,1,0.903034957013404,23.4577569,0,0,1,0.998283013620946,0.19237252,0,0,1,0.998283013620946,0.01964438,0,0
2,15,1,1,0.931124602593364,26.31138946,0,0,1,0.998978662894895,0.19039774,0,0,1,0.998978662894895,0.02058144,0,0
2,16,0.25,1,0.685864633807021,11.39368771,0,0,1,0.997002922443054,0.15592998,0,0.02,1,0.997002922443054,0.04616825,0,0
2,16,0.5,1,0.867385280029808,20.53907963,0,0,1,0.996101756082378,0.1924387,0,0,1,0.996101756082378,0.02160052,0,0
2,16,0.75,1,0.912641986834881,23.85107465,0,0,1,1.00000000002206,0.20314083,0,0,1,1.00000000002206,0.02076344,0,0
2,16,1,1,0.93246570561777,28.63364948,0,0,1,0.998769196752203,0.19124717,0,0,1,0.998769196752203,0.01962417,0,0
2,17,0.25,1,0.714525694498253,13.10410614,0,0,0.998165324429319,0.995348014781456,0.18879701,0,0.005,1,0.995312244654773,0.02216238,0,0
2,17,0.5,1,0.876122828718791,20.19234889,0,0,1,0.997812398718547,0.19435997,0,0,1,0.997812398718547,0.02101736,0,0
2,17,0.75,1,0.912714375441207,26.05425511,0,0,1,0.998856756743521,0.20318602,0,0,1,0.998856756743521,0.0214927,0,0
2,17,1,1,0.943060317457219,32.86402613,0,0,1,0.998973587154157,0.20139518,0,0,1,0.998973587154157,0.02233698,0,0
2,18,0.25,1,0.70074508885213,12.70075985,0,0,1,0.991863466171983,0.16359929,0,0.01,1,0.991863466171983,0.03731523,0,0
2,18,0.5,1,0.869263009638378,22.20362157,0,0,1,0.998275071898479,0.20489968,0,0,1,0.998275071898479,0.02191166,0,0
2,18,0.75,1,0.922723328614,27.92136631,0,0,1,0.999635724870696,0.21074501,0,0,1,0.999635724870696,0.02130176,0,0
2,18,1,1,0.94224220741205,34.6594231,0,0,1,0.999537795375067,0.20054207,0,0,1,0.999537795375067,0.02185156,0,0
2,19,0.25,1,0.75181656924962,15.18635457,0,0,1,0.998550005303526,0.16576944,0,0.015,1,0.998550005303526,0.04115452,0,0
2,19,0.5,1,0.878883345168197,24.37788663,0,0,1,0.997554123031503,0.2051847,0,0,1,0.997554123031503,0.02280271,0,0
2,19,0.75,1,0.927669290300063,33.04089947,0,0,1,0.998598014962853,0.20528491,0,0,1,0.998598014962853,0.02094858,0,0
2,19,1,1,0.949396835588273,37.97760492,0,0,1,0.999076460679695,0.20304613,0,0,1,0.999076460679695,0.02157469,0,0
2,20,0.25,1,0.745446796053452,16.01487917,0,0,1,0.998161808197439,0.17709391,0,0.005,1,0.998161808197439,0.04114109,0,0
2,20,0.5,1,0.887830577794076,26.21422317,0,0,1,0.998087877705875,0.19701624,0,0,1,0.998087877705875,0.02159333,0,0
2,20,0.75,1,0.926344083170817,34.20202989,0,0,1,0.998911214189989,0.20771963,0,0,1,0.998911214189989,0.02746256,0,0
2,20,1,1,0.941766881616567,38.93043489,0,0,1,0.998162314522886,0.20626583,0,0,1,0.998162314522886,0.0207257,0,0
3,2,0.25,1,0.221663650107743,0.888309299999999,0,0,0.99458609170383,0.985424864851983,0.16594351,0,0.47,1,0.912799566859159,0.04300769,0,0
