n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,3,0.5,1,0.959469898961631,0.129059142500175,0.42368592,0,0,0.904438907348339,0.816476333973162,44.53970571,0.00333333333333333,0.11,0.897039036868398,0.815482180597855,2.14655278,0,0.06,0.885684584197956,0.789170457281817,1.91039942,0.00666666666666667,0.08,0.877570363610036,0.801019061179357,1.86463637,0,0.155
2,3,0.5,2,0.99302661560926,0.36342277054249,0.36928296,0,0.01,0.983437485336375,0.974976190831078,10.26232065,0.01,0.06,0.980018945707704,0.972065423181058,1.35957423,0,0.045,0.978051630099553,0.970098243210756,0.83281513,0,0.03,0.978680600509053,0.970219144847712,0.73622248,0,0.08
2,3,0.5,3,0.997270855279071,0.453134428049025,0.1919784,0,0,1,0.999720298989404,5.29491861,0.00333333333333334,0.015,0.997270855279071,0.996991104546031,0.47841671,0,0,0.997270855279071,0.990860673409193,0.551364,0,0,0.997270855279071,0.996991104546031,0.44080545,0,0.015
2,3,0.5,4,0.996615613740063,0.618493754365781,0.19608718,0,0,1,0.995914677313948,5.10648693,0.00666666666666667,0.005,0.996615613740063,0.994086853042646,0.69001257,0,0.005,0.996615613740063,0.992530295826793,0.34872552,0,0,0.996615613740063,0.994086853042646,0.32547762,0,0.01
2,3,0.75,1,0.911807743239871,0.135763265340372,0.501126459999999,0,0,0.883726558707447,0.768707919233628,58.22139898,0,0.12,0.880982921991266,0.767309238795871,2.48976811,0,0.1,0.883553662163453,0.738129499084903,2.75407215,0,0.1,0.858009941505738,0.752495059582008,2.13563134,0,0.15
2,3,0.75,2,0.977549626040999,0.273227855954558,0.54241688,0,0.045,0.974897289415605,0.949390676085956,20.9036994,0.05,0.065,0.95959325860717,0.937670320727022,1.32994096,0.0166666666666666,0.105,0.943733404847442,0.913119797135709,1.28341007,0.0333333333333333,0.09,0.939246984823605,0.916786981001007,1.07321704,0.0266666666666667,0.15
2,3,0.75,3,0.991833939507115,0.369159578825456,0.4546741,0,0.015,1,0.989834979564178,11.90238338,0.0133333333333333,0.04,0.991833939507115,0.983326592458857,0.86251266,0,0.05,0.991833939507115,0.980735921288905,0.977249459999999,0,0.025,0.986426462770106,0.979051494236286,0.95037681,0,0.07
2,3,0.75,4,0.98829474131793,0.41439095159212,0.23591254,0,0.005,0.995889977171201,0.994740644757778,9.10341265,0.00666666666666667,0.05,0.988666236955549,0.987517210543761,1.00943466,0,0.07,0.994226464678614,0.993077584383355,0.79606491,0.00333333333333334,0.04,0.994226464678614,0.993077240250137,0.86520684,0.00333333333333334,0.075
2,3,1,1,0.82640513051662,0.221499659401101,0.531613150000001,0,0,0.863774976312612,0.678303251234959,60.2376967,0,0.2,0.863073620333487,0.68010933768105,2.68739381,0,0.17,0.865928776291798,0.679846917874338,2.9769747,0,0.12,0.859874743376518,0.680181738279458,2.46267112,0,0.145
2,3,1,2,0.962765601889828,0.307684019213605,0.51410251,0,0.135,0.950212965477572,0.883828876606765,25.07800719,0.0466666666666667,0.14,0.924111301795571,0.857726990470729,1.76956261,0.00666666666666667,0.18,0.924111301795571,0.857727119675623,1.67260641,0.00333333333333333,0.12,0.927043851950855,0.857697595410429,1.7488384,0.00666666666666667,0.225
