m,spefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0.0149037680756212484,0.00801240963287983866,0.00881702625835160785,0.00524048352701391232
3,0.000828914160164750426,0.0358911789944579632,0.0124638084672944651,0.0418534853041920771,0.0238072265431498349
4,0.00100648887513966651,0.0418027576046184138,0.0179483740438292315,0.0268978384328502663,0.0153334614112845043
5,0.00362985466951980858,0.045426056753424586,0.0321394931858602906,0.0272168233362252501,0.020725003760038635
6,0.0171568919405975934,0.0503586808493457494,0.0371001715506681304,0.0307133748856212967,0.0375720764901751533
7,0.013570456168665937,0.0629359326330067026,0.0255431501113587492,0.0379980737931556178,0.0101997799917940644
8,0.0164537161886128998,0.0478234830143131201,0.0163937981909190664,0.0241352429792754813,0.012943420728137027
9,0.0166240240670529199,0.0693589124661377204,0.0249037530912712413,0.0490083944411682584,0.0528641604966125223
10,0.0237562705340221766,0.0680382695570776741,0.0359164594306070201,0.0299203436136779855,0.024380224259337703
