m,apmcloss,usmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0,0.214285714285714246,0.0856611278935981851,0.226559639834894133,0.0856611278935981851,0.2070217324239082
3,0,0.285714285714285698,0.130397538208121971,0.309501065654284813,0.127791783888196064,0.311368614245811859
4,0,0.357142857142857151,0.164086666411656035,0.339942057993348756,0.152773552456835771,0.301161314459051699
5,0,0.357142857142857151,0.181860915288406061,0.371476764000691684,0.162012683921128886,0.323476145004703453
6,0,0.357142857142857151,0.197393868926141164,0.368901325655064394,0.172436262949285463,0.328729469989656742
7,0,0.357142857142857151,0.209786969044448351,0.403570875886040181,0.18584656744100414,0.336328746304537241
8,0,0.428571428571428492,0.191395116007938293,0.340662465861034991,0.159343611467299889,0.28927929410596348
9,0,0.428571428571428492,0.198674474542303109,0.346222800791979091,0.170366369398857659,0.307548639507480015
10,0,0.428571428571428492,0.197008724161892912,0.34887417962200501,0.165353385697314892,0.318357780433991544
11,0,0.428571428571428492,0.202743757900855109,0.362502957829673789,0.17523775586887938,0.326940484647623097
12,0,0.428571428571428492,0.207996725485586176,0.357502507346501741,0.18523929496064237,0.331821002865618164
13,0,0.428571428571428492,0.209888993325534096,0.35358914962957716,0.187122157728412286,0.339667658416879903
14,0,0.428571428571428492,0.210770641038581757,0.368336897210233827,0.188502878454532341,0.345575676099277473
15,0,0.428571428571428492,0.209768899675543491,0.350550235035213154,0.191524401665183058,0.337789951344004247
16,0,0.428571428571428492,0.219205499901837492,0.358691917751611855,0.202740692078033552,0.346135306067231696
17,0,0.428571428571428492,0.222502042059714272,0.36416471112645904,0.206195509857401815,0.357214260960204977
18,0,0.428571428571428492,0.218735257650141041,0.361286399196983521,0.204128145819317236,0.35756690965703275
19,0,0.428571428571428492,0.219860724935054319,0.364424557449029407,0.20581731327731187,0.356253694792794451
20,0,0.428571428571428492,0.229184388397560668,0.371057361667794794,0.215242714611770747,0.372417821599156207
