m,apwelfare,uswelfare,gwwelfare,gewelfare,owwelfare,oewelfare
2,1,1,1,0.733209585448111989,1,0.733209585448111989
3,0.98737466374117222,0.991478753992348416,0.998245855847208707,0.656402948514259621,1,0.663900891843149599
4,0.974544066115111463,0.96279853803482851,0.996033859833386326,0.547504612105768285,1,0.568785563364036073
5,0.953400176846808334,0.954946443391425981,0.989962173551547475,0.505484854221115887,1,0.536608724756238553
6,0.958043446956909794,0.920622633356749209,0.99108020893446358,0.520423326511054829,1,0.555638993733132081
7,0.93815947734312688,0.913816661677929631,0.992541354303708934,0.452434676889416965,1,0.48241437934965703
8,0.917541521519728676,0.920140764313983284,0.995016809333546193,0.411467581767045287,1,0.444677212833974767
9,0.913535322046653553,0.911453299030214326,0.983818033479233578,0.37265126354912731,1,0.414301253617832821
10,0.918411127015758888,0.912862881843499063,0.987326951458362689,0.350551895507737687,1,0.396625189173417825
