m,apef,usef,gwef,geef,owef,oeef
2,0,0,0,0.0133333333333333359,0,0.0133333333333333359
3,0.0444444444444444461,0,0,0.0259259259259259252,0,0.0259259259259259252
4,0.0374999999999999986,0,0,0.0625,0,0.0750000000000000111
5,0.0299999999999999989,0,0,0.0733333333333333337,0,0.0666666666666666796
6,0,0,0,0.0833333333333333287,0,0.0833333333333333287
7,0,0,0,0.138095238095238076,0,0.138095238095238076
8,0,0,0,0.137500000000000011,0,0.137500000000000011
9,0,0,0,0.162962962962962948,0,0.162962962962962948
10,0,0,0,0.179999999999999993,0,0.179999999999999993
