m,aprevenue,usrevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,1,0.874081028295079276,1,0.840834944465698064,1,0.840834944465698064
3,0.962448837951614844,0.731542105239262441,0.976316079529641834,0.813051601999980278,1,0.845267807311937069
4,0.993000711498478128,0.647076880066156823,0.997629689443652934,0.869481023894269844,1,0.863303346744409339
5,0.979565771508974392,0.550274992216362557,0.997890142041583106,0.812248437150773217,1,0.854382910890357339
6,1,0.52496779275336225,1,0.879765220171831563,1,0.879765220171831563
7,1,0.497618325836467645,1,0.880309630288720446,1,0.880309630288720446
8,1,0.544791801283045385,1,0.822485052384453796,1,0.822485052384453796
9,1,0.465486716519508736,1,0.801188690324891373,1,0.801188690324891373
10,1,0.435644290559048131,1,0.781270725486266637,1,0.781270725486266637
