m,apwinners,uswinners,gwwinners,gewinners,owwinners,oewinners
2,1,1,1,1,1,1
3,0.995238095238095255,0.985714285714285765,0.995238095238095255,0.995238095238095255,1,1
4,0.964583333333333348,0.924305555555555491,0.977083333333333304,0.974999999999999978,0.987500000000000044,1
5,0.959722222222222254,0.895833333333333259,0.963888888888888906,0.965972222222222232,0.984722222222222276,1
6,0.945061728395061862,0.835185185185185142,0.962654320987654244,0.954629629629629606,0.9780864197530863,1
7,0.952160493827160503,0.815123456790123435,0.958950617283950701,0.954938271604938382,0.9780864197530863,1
8,0.937345679012345778,0.804012345679012252,0.955246913580246826,0.941049382716049432,0.971296296296296324,1
9,0.916419753086419764,0.792345679012345649,0.931234567901234489,0.932037037037037108,0.960061728395061653,1
10,0.91537037037037039,0.798827160493827071,0.922777777777777697,0.946234567901234613,0.956851851851851842,1
