m,apmc,usmc,gwmc,gemc,owmc,oemc
2,0,0.700000000000000067,0.0320000000000000007,0.0433333333333333348,0.0320000000000000007,0.0433333333333333348
3,0,0.800000000000000155,0.0355555555555555625,0.0599999999999999978,0.028888888888888891,0.0522222222222222254
4,0,0.850000000000000089,0.0183333333333333369,0.0333333333333333398,0.0149999999999999994,0.0250000000000000014
5,0,0.850000000000000089,0.0483333333333333323,0.0633333333333333387,0.0433333333333333348,0.0516666666666666732
6,0,0.900000000000000022,0,0,0,0
7,0,0.900000000000000022,0,0,0,0
8,0,0.900000000000000022,0,0,0,0
9,0,0.900000000000000022,0,0,0,0
10,0,0.900000000000000022,0,0,0,0
