n,evef,gwef,geef,owef,oeef
2,0,0.00666666666666666709,0.106666666666666674,0,0.111111111111111119
3,0,0.00666666666666666796,0.0611111111111111091,0,0.0688888888888889023
4,0,0.00833333333333333495,0.0366666666666666669,0,0.0383333333333333304
5,0,0.00333333333333333355,0.0166666666666666664,0,0.0100000000000000019
6,0,0.00333333333333333355,0.0183333333333333369,0,0.00833333333333333148
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
