n,evwinners,gwwinners,gewinners,owwinners,oewinners
2,0.88888888888888884,0.872222222222222232,0.933333333333333237,0.88888888888888884,0.95555555555555538
3,0.759259259259259189,0.781481481481481555,0.877777777777777768,0.792592592592592626,0.896296296296296369
4,0.691666666666666652,0.695833333333333304,0.787500000000000089,0.716666666666666674,0.850000000000000089
5,0.669999999999999929,0.66333333333333333,0.736666666666666692,0.683333333333333348,0.746666666666666701
6,0.511111111111111072,0.502777777777777768,0.572222222222222188,0.533333333333333326,0.591666666666666674
7,0.48571428571428571,0.48571428571428571,0.561904761904761907,0.48571428571428571,0.561904761904761907
8,0.370833333333333348,0.370833333333333348,0.454166666666666663,0.370833333333333348,0.454166666666666663
9,0.333333333333333315,0.333333333333333315,0.325925925925925897,0.333333333333333315,0.325925925925925897
10,0.306666666666666643,0.306666666666666643,0.306666666666666643,0.306666666666666643,0.306666666666666643
