n,evefloss,gwefloss,geefloss,owefloss,oeefloss
4,0,0.0260312631260884615,0.129392275276282082,0,0.0721388321224924467
5,0,0.0294381613018810211,0.0799346845839007808,0,0.107374126679104995
6,0,0.0380427481814323357,0.051240598478124455,0,0.0299494597919569838
7,0,0.0092979425263006333,0.0703732261637827067,0,0.0200318757046143957
8,0,0.0245316275708294777,0.0372556339407759535,0,0.00887830489194323114
9,0,0.00393052658076072873,0.0218726507076749781,0,0
10,0,0.00190458958626133824,0.0112215131215936768,0,0.000545687133707607481
