n,evefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0.00349673665443689169,0.22604833537995353,0,0.262086024258676997
3,0,0.00816748308997455007,0.150981591494090378,0,0.181772384681322757
4,0,0.00556102118255751357,0.0846579442547684274,0,0.105993640840108178
5,0,0.00467851609459692553,0.0262584788550995901,0,0.0139259868419524639
6,0,0.00390424476022327915,0.028124453865607784,0,0.00862676841529114863
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
