n,evmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0.116666666666666655,0.127777777777777796,0.0582839020262596319,0.111111111111111119,0.049376298513179151
3,0.241662759488851991,0.219412244798240064,0.0988372854988998489,0.214616971364601034,0.0858015509322147957
4,0.308333175204734022,0.306240615837767793,0.180025550348179519,0.288775698684720528,0.148126556261085174
5,0.32999999999999996,0.338941535100685087,0.262401382481089462,0.325065369369054391,0.256509335610064726
6,0.488888888888888873,0.496537180955743174,0.419989565891830674,0.477627259560610806,0.410321372350794134
7,0.514285714285714235,0.514285714285714235,0.438095238095238093,0.514285714285714235,0.438095238095238093
8,0.629166666666666652,0.629166666666666652,0.545833333333333393,0.629166666666666652,0.545833333333333393
9,0.66666666666666663,0.66666666666666663,0.674074074074074048,0.66666666666666663,0.674074074074074048
10,0.693333333333333357,0.693333333333333357,0.693333333333333357,0.693333333333333357,0.693333333333333357
