n,m,gwwelfare,gwef
50,2,0.972610028431099,0.23
50,3,0.936734172318539,0.3
50,4,0.920174921097618,0.305
50,5,0.917177108415712,0.396
50,6,0.92504513790636,0.356666666666667
50,7,0.911224211048316,0.405714285714286
50,8,0.920769220733886,0.37
50,9,0.937615527024969,0.336666666666667
50,10,0.934210261908946,0.339
50,11,0.922118888453552,0.348181818181818
50,12,0.926016939639152,0.353333333333333
50,13,0.947506819854578,0.343846153846154
50,14,0.942077862753119,0.317857142857143
50,15,0.936909975884861,0.338666666666667
50,16,0.931255011334889,0.330625
50,17,0.939248920471308,0.288823529411765
50,18,0.938514437868567,0.305555555555556
50,19,0.925013368449738,0.337368421052632
50,20,0.928935194589611,0.322
50,21,0.938654292343262,0.289047619047619
50,22,0.930427976913353,0.305454545454545
50,23,0.932066236056798,0.285652173913043
50,24,0.934710827594488,0.280833333333333
50,25,0.947552037027577,0.2608
50,26,0.92064908584837,0.280384615384615
50,27,0.958555538206726,0.24962962962963
50,28,0.948155283637741,0.269285714285714
50,29,0.941580813485705,0.250689655172414
50,30,0.956756697868423,0.249666666666667
50,31,0.950884321536582,0.241612903225806
50,32,0.959778315383971,0.2346875
50,33,0.959454293686317,0.238787878787879
50,34,0.953220811315642,0.229117647058824
50,35,0.936891710473993,0.245142857142857
50,36,0.943891385988362,0.23
50,37,0.945797386225587,0.219459459459459
50,38,0.947182353807512,0.217105263157895
50,39,0.939963706909702,0.215128205128205
50,40,0.942102450453542,0.22325
50,41,0.96328138804175,0.210731707317073
50,42,0.949284480828314,0.216666666666667
50,43,0.954181319455237,0.195348837209302
50,44,0.945194783918558,0.204090909090909
50,45,0.948578376486424,0.206666666666667
50,46,0.944583845241053,0.205
50,47,0.953806497202067,0.202765957446809
50,48,0.961245506941331,0.181041666666667
50,49,0.937131310937328,0.188775510204082
50,50,0.949398797162666,0.1868
