n,approxwelfare,approxef,gwwelfare,gwef,gewelfare,geef,owwelfare,owef,oewelfare,oeef
21,0.540585777481482,0.2676,0.957637437401095,0.1256,0.864697381988378,0.1488,1,0.115,0.881206255004801,0.1408
22,0.488103192854545,0.2844,0.951945498298816,0.1348,0.833068735217682,0.1638,1,0.1212,0.878859699544861,0.1488
23,0.492444971916768,0.283,0.952040473512838,0.1338,0.818929774411531,0.1738,1,0.1254,0.839049529475729,0.1674
24,0.493251410569649,0.286,0.966392482294757,0.126,0.858475699224991,0.1494,1,0.1208,0.86928131428194,0.1482
25,0.465379321012293,0.2932,0.954652111642259,0.132,0.840773049670253,0.1594,1,0.1212,0.88667559714492,0.1458
26,0.509493789335163,0.2718,0.954716305021418,0.1248,0.853623948543056,0.151,1,0.114,0.86798149261334,0.1482
27,0.497871961776121,0.2874,0.957567703168093,0.1474,0.853581612768569,0.174,1,0.1372,0.879470277501291,0.1674
28,0.466070111669956,0.301,0.950090007935184,0.1584,0.82127799727207,0.1852,1,0.1462,0.846828968226879,0.1784
29,0.495074620893666,0.281,0.964517050431269,0.1386,0.869540104504878,0.147,1,0.1266,0.882767551332188,0.1512
30,0.491919802371103,0.2846,0.959636888924082,0.1396,0.834235911352519,0.168,1,0.1308,0.853769947608882,0.161
31,0.454825364603492,0.3048,0.950970151099697,0.1566,0.797668945654259,0.2012,1,0.1464,0.855020006577034,0.1746
32,0.491082610241769,0.2846,0.943980982322126,0.1506,0.841463371070512,0.1758,1,0.1374,0.883659483810547,0.1574
33,0.511342459378715,0.29,0.955008218116759,0.1592,0.84506463321456,0.1828,1,0.145,0.882765038844321,0.1752
34,0.484818923735684,0.3016,0.953601819647551,0.1716,0.845361291265414,0.1954,1,0.1574,0.877699039310712,0.1778
35,0.472855418616079,0.3104,0.969148041972689,0.1556,0.854921163092017,0.1848,1,0.1446,0.876365057062266,0.1752
36,0.5005265018433,0.2954,0.946183063894342,0.1672,0.860516788119941,0.1918,1,0.1512,0.884263881664229,0.1728
37,0.50043104712383,0.295,0.949669008142595,0.1664,0.862473268780415,0.1894,1,0.1584,0.879744900238591,0.1846
38,0.529938397466478,0.2964,0.96317786875386,0.1788,0.850539049232041,0.2052,1,0.1666,0.874237958208517,0.1998
39,0.478517590583632,0.3096,0.963780758382695,0.1572,0.862232372541912,0.187,1,0.147,0.899012137008316,0.1756
40,0.463076227546334,0.311,0.944151016058316,0.1818,0.851708528354348,0.1974,1,0.163,0.871474694898028,0.1966
41,0.556120112754107,0.2862,0.943672864147915,0.1976,0.832981246559595,0.2242,1,0.1764,0.859576721764335,0.2122
42,0.541226078934175,0.2862,0.954317400482875,0.169,0.835728862901377,0.2052,1,0.1578,0.882190719592645,0.1848
43,0.535114011462615,0.2912,0.936270723833441,0.1928,0.852676996437539,0.2112,1,0.1722,0.865371342970236,0.2052
44,0.446014643023242,0.3198,0.952088369435999,0.1884,0.849678503215758,0.2098,1,0.1726,0.867681893372077,0.1982
45,0.494562779559497,0.3134,0.934093298670958,0.1948,0.824510634837358,0.2236,1,0.1758,0.861365814110664,0.2152
46,0.508527321561511,0.296,0.953506472117636,0.1844,0.87437133890453,0.2,1,0.1712,0.893111913683242,0.1958
47,0.504882399543283,0.3094,0.939419455420847,0.197,0.799882661090917,0.2354,1,0.1754,0.861956622520375,0.2116
48,0.495012279931096,0.3046,0.955558904419861,0.182,0.833323237519123,0.2216,1,0.1748,0.872172116121549,0.2056
49,0.511172626909764,0.3054,0.951785414948823,0.1908,0.862853940686699,0.2084,1,0.1758,0.834886618319798,0.2312
50,0.520644388559418,0.298,0.949398797162666,0.1868,0.854006293648923,0.2124,1,0.1756,0.873369763505851,0.2062
