m,approxwelfare,approxef,gwwelfare,gwef,gewelfare,geef,owwelfare,owef,oewelfare,oeef
2,1,0,0.972610028431099,0.23,0.839563362215238,0.29,1,0.195,0.774241231448438,0.34
3,0.974310669159616,0.0366666666666667,0.936734172318539,0.3,0.77519800330776,0.373333333333333,1,0.27,0.696188421075719,0.446666666666667
4,0.955273366819773,0.065,0.920174921097618,0.305,0.768661041007255,0.385,1,0.2875,0.764187231676565,0.465
5,0.924729105310239,0.096,0.917177108415712,0.396,0.717928838561513,0.478,1,0.354,0.750434007212796,0.502
6,0.909231733249055,0.14,0.92504513790636,0.356666666666667,0.752787061589272,0.446666666666667,1,0.318333333333333,0.762513981219347,0.451666666666667
7,0.920350933149353,0.145714285714286,0.911224211048316,0.405714285714286,0.676537437578355,0.524285714285714,1,0.38,0.73641815452029,0.504285714285714
8,0.892596451989441,0.1475,0.920769220733886,0.37,0.764146794136218,0.4425,1,0.33875,0.736947326350719,0.46375
9,0.86462760364144,0.171111111111111,0.937615527024969,0.336666666666667,0.746834138287365,0.428888888888889,1,0.304444444444444,0.765648195256506,0.423333333333333
10,0.866809453146232,0.189,0.934210261908946,0.339,0.755443107057356,0.422,1,0.314,0.790411603283884,0.401
11,0.845740550424599,0.193636363636364,0.922118888453552,0.348181818181818,0.790946946248607,0.413636363636364,1,0.306363636363636,0.773626843613957,0.448181818181818
12,0.804363415725518,0.203333333333333,0.926016939639152,0.353333333333333,0.790255312080967,0.413333333333333,1,0.318333333333333,0.768230325753657,0.435833333333333
13,0.8171834525697,0.225384615384615,0.947506819854578,0.343846153846154,0.76353366795879,0.453076923076923,1,0.336923076923077,0.811651737088017,0.431538461538462
14,0.786283406131229,0.232857142857143,0.942077862753119,0.317857142857143,0.81671975603298,0.37,1,0.280714285714286,0.804564763369003,0.392857142857143
15,0.785939701541568,0.227333333333333,0.936909975884861,0.338666666666667,0.767732276304439,0.413333333333333,1,0.304,0.785435270612299,0.408666666666667
16,0.744332830430607,0.245625,0.931255011334889,0.330625,0.825932618020525,0.381875,1,0.28375,0.798621404590457,0.396875
17,0.70956934752782,0.245882352941176,0.939248920471308,0.288823529411765,0.803094600626725,0.357647058823529,1,0.244705882352941,0.846181003070385,0.341176470588235
18,0.772670339997313,0.23,0.938514437868567,0.305555555555556,0.83508342396409,0.341111111111111,1,0.28,0.855201139352777,0.337222222222222
19,0.723734723419419,0.249473684210526,0.925013368449738,0.337368421052632,0.793351915907097,0.378947368421053,1,0.296315789473684,0.805532389330489,0.375789473684211
20,0.704532545244094,0.2525,0.928935194589611,0.322,0.785556982692002,0.3625,1,0.2805,0.836512717064093,0.344
21,0.685240910150034,0.265238095238095,0.938654292343262,0.289047619047619,0.833438657039411,0.336190476190476,1,0.267142857142857,0.854647828457515,0.322857142857143
22,0.679441378610637,0.268636363636364,0.930427976913353,0.305454545454545,0.832495658142588,0.346363636363636,1,0.267272727272727,0.854565398215231,0.341818181818182
23,0.701088450325524,0.253478260869565,0.932066236056798,0.285652173913043,0.785584378354374,0.36304347826087,1,0.257391304347826,0.828995474012464,0.342173913043478
24,0.676224972431738,0.270833333333333,0.934710827594488,0.280833333333333,0.799860829315714,0.342083333333333,1,0.262083333333333,0.810169438192491,0.33875
25,0.613663806240691,0.2816,0.947552037027577,0.2608,0.839549204249242,0.2956,1,0.2448,0.854831821598114,0.3004
26,0.669359036194946,0.256923076923077,0.92064908584837,0.280384615384615,0.813063233709941,0.323076923076923,1,0.250384615384615,0.833134194043646,0.312692307692308
27,0.620191462213519,0.283703703703704,0.958555538206726,0.24962962962963,0.847899535584456,0.286666666666667,1,0.232962962962963,0.845397079801238,0.291851851851852
28,0.597306327776597,0.285714285714286,0.948155283637741,0.269285714285714,0.830766891118588,0.313928571428571,1,0.249285714285714,0.853623096047174,0.287857142857143
29,0.642533592384369,0.267931034482759,0.941580813485705,0.250689655172414,0.863036076646762,0.266896551724138,1,0.22448275862069,0.888152709451986,0.26
30,0.616010621840622,0.279,0.956756697868423,0.249666666666667,0.842245048726118,0.295,1,0.231333333333333,0.866559534930899,0.287666666666667
31,0.604944131128609,0.285161290322581,0.950884321536582,0.241612903225806,0.857015825349747,0.268387096774194,1,0.224838709677419,0.884957320296408,0.255806451612903
32,0.595136789119269,0.28875,0.959778315383971,0.2346875,0.825866225458129,0.2890625,1,0.221875,0.882246201050388,0.26125
33,0.574782971100144,0.296060606060606,0.959454293686317,0.238787878787879,0.826454411872413,0.274242424242424,1,0.227272727272727,0.857847848456112,0.262121212121212
34,0.544509033442783,0.292352941176471,0.953220811315642,0.229117647058824,0.866225618333062,0.253529411764706,1,0.217352941176471,0.874784580497617,0.254117647058824
35,0.653890157979332,0.274285714285714,0.936891710473993,0.245142857142857,0.830168920825969,0.287714285714286,1,0.224,0.859554475941438,0.268857142857143
36,0.583653897460392,0.288055555555556,0.943891385988362,0.23,0.805847379129201,0.280833333333333,1,0.219166666666667,0.824645653355169,0.278055555555556
37,0.549251129021689,0.292972972972973,0.945797386225587,0.219459459459459,0.876244918717415,0.230810810810811,1,0.201081081081081,0.883979337109322,0.232432432432432
38,0.578949417489553,0.289736842105263,0.947182353807512,0.217105263157895,0.873174022723251,0.235263157894737,1,0.197631578947368,0.887841744364169,0.232368421052632
39,0.558324419491011,0.293333333333333,0.939963706909702,0.215128205128205,0.866189852170077,0.241794871794872,1,0.200512820512821,0.910391079529003,0.219230769230769
40,0.56529169211843,0.2905,0.942102450453542,0.22325,0.825328385376324,0.2595,1,0.201,0.869521715459448,0.23975
41,0.559801849513252,0.294634146341463,0.96328138804175,0.210731707317073,0.848095526930753,0.234146341463415,1,0.206341463414634,0.8617403053898,0.228292682926829
42,0.509907914839006,0.312619047619048,0.949284480828314,0.216666666666667,0.831687258395209,0.255238095238095,1,0.20047619047619,0.880850655564603,0.239047619047619
43,0.507891607986928,0.301860465116279,0.954181319455237,0.195348837209302,0.846418912561701,0.222325581395349,1,0.186976744186047,0.864954385879277,0.22
44,0.492504293402996,0.308636363636364,0.945194783918558,0.204090909090909,0.858134358433001,0.225227272727273,1,0.192045454545455,0.907795529853938,0.210681818181818
45,0.519724373170149,0.308666666666667,0.948578376486424,0.206666666666667,0.840587722536521,0.232222222222222,1,0.192888888888889,0.846724351207542,0.233333333333333
46,0.495168195336313,0.310869565217391,0.944583845241053,0.205,0.847827022982907,0.229130434782609,1,0.186739130434783,0.876036237375323,0.213913043478261
47,0.497480390025722,0.303829787234043,0.953806497202067,0.202765957446809,0.86709466553045,0.218510638297872,1,0.183404255319149,0.870626178284759,0.218297872340426
48,0.546475837054162,0.284375,0.961245506941331,0.181041666666667,0.842561840817574,0.216041666666667,1,0.176666666666667,0.868423355899805,0.205208333333333
49,0.522564298831261,0.302040816326531,0.937131310937328,0.188775510204082,0.835930105506356,0.219591836734694,1,0.173265306122449,0.864799739689458,0.213265306122449
50,0.520644388559418,0.298,0.949398797162666,0.1868,0.854006293648923,0.2124,1,0.1756,0.873369763505851,0.2062
