m,apef,usef,gwef,geef,owef,oeef
2,0,0,0,0.0133333333333333325,0,0.0133333333333333325
3,0.0481481481481481413,0,0,0.0259259259259259217,0,0.0259259259259259217
4,0.0416666666666666644,0,0,0.0499999999999999889,0,0.0499999999999999889
5,0.0433333333333333348,0,0,0.0500000000000000028,0,0.0433333333333333348
6,0,0,0,0.116666666666666655,0,0.116666666666666655
7,0,0,0,0.119047619047619041,0,0.119047619047619041
8,0,0,0,0.195833333333333359,0,0.195833333333333359
9,0,0,0,0.188888888888888884,0,0.188888888888888884
10,0,0,0,0.16333333333333333,0,0.16333333333333333
