m,apwinners,uswinners,gwwinners,gewinners,owwinners,oewinners
2,1,0.806666666666666643,1,1,1,1
3,0.944444444444444531,0.507407407407407418,0.955555555555555602,0.966666666666666674,0.994444444444444464,1
4,0.958333333333333259,0.356944444444444398,0.980555555555555625,0.988888888888888928,1,1
5,0.958333333333333259,0.309444444444444466,0.973611111111111094,0.979166666666666741,0.988888888888888928,1
6,1,0.23000000000000001,1,1,1,1
7,1,0.193412698412698425,1,1,1,1
8,1,0.188769841269841282,1,1,1,1
9,1,0.168571428571428567,1,1,1,1
10,1,0.153941798941798935,1,1,1,1
