m,apwelfare,uswelfare,gwwelfare,gewelfare,owwelfare,oewelfare
2,1,1,1,0.816194883006557292,1,0.816194883006557292
3,0.988533389566250031,0.992358924522761865,1,0.742496542920185298,1,0.742496542920185298
4,0.978279282978499864,0.957122632287547237,0.992542327755927545,0.701369702199341249,1,0.721085172357632365
5,0.961362153317872448,0.944741213075722897,0.99223908376643899,0.656533245959168732,1,0.675149041977808007
6,0.954386784857179871,0.87161697039466246,0.978406553180175664,0.656010430689790924,1,0.688382252053720389
7,0.963406182308961134,0.868116662059759459,0.977074768954794726,0.659605750751215747,1,0.694749350226314344
8,0.964177468134143179,0.858598316051436661,0.976299119745334565,0.638496167467578646,1,0.686192121943302813
9,0.942283225228883414,0.844667341678058459,0.972560977004055416,0.655536495070266678,1,0.708266556747637943
10,0.952164223309395652,0.849355060932264871,0.970403424002866388,0.641105264358708182,1,0.67921794531136459
