m,apwinners,uswinners,gwwinners,gewinners,owwinners,oewinners
2,1,1,1,1,1,1
3,0.995238095238095255,0.988095238095238027,1,1,1,1
4,0.966666666666666674,0.920833333333333393,0.972916666666666652,0.970833333333333326,0.989583333333333259,1
5,0.952083333333333393,0.900000000000000022,0.965972222222222232,0.957638888888888928,0.981249999999999956,1
6,0.942592592592592649,0.816975308641975317,0.951234567901234618,0.950000000000000067,0.988580246913580263,1
7,0.941975308641975317,0.81944444444444442,0.945679012345678971,0.960802469135802473,0.988271604938271597,1
8,0.940740740740740766,0.807407407407407351,0.942283950617283761,0.945679012345678971,0.980555555555555514,1
9,0.926913580246913615,0.795308641975308594,0.944506172839506219,0.93648148148148147,0.987962962962962821,1
10,0.924999999999999933,0.793580246913580201,0.933950617283950568,0.948950617283950693,0.979012345679012186,1
