m,aprevenue,usrevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,1,0.859159370189798488,1,0.872590578388713567,1,0.872590578388713567
3,0.965103016423444537,0.650624632944728276,0.977610628636436108,0.881849861123745193,1,0.904763381101128528
4,0.965445902450268734,0.491070422159225695,0.98957124071404845,0.919157541707341208,1,0.92852645560763114
5,0.980447440367706702,0.430712171687134548,0.997911133720604804,0.878305198460286762,1,0.888244353994161795
6,1,0.342516742091976356,1,0.924345884927440076,1,0.924345884927440076
7,1,0.267202465547828616,1,0.934675019938041141,1,0.934675019938041141
8,1,0.269756862580286472,1,0.869243591405087113,1,0.869243591405087113
9,1,0.244405844002174993,1,0.894905508435752561,1,0.894905508435752561
10,1,0.232963293373165514,1,0.892353598996356245,1,0.892353598996356245
