m,aptime,ustime,gwtime,getime,owtime,oetime
2,1.65222133333333345e-05,3.06026733333333335e-05,8.40045999999999919e-06,7.30264000000000044e-06,0.0077650299666666674,0.00747420669999999954
3,1.8494311111111109e-05,5.59728888888888918e-05,9.8970666666666654e-06,9.0152999999999999e-06,0.00821400125555555617,0.0078823556444444446
4,2.30531833333333348e-05,9.38758500000000102e-05,1.23239166666666657e-05,1.17854000000000007e-05,0.00826971526666666658,0.00804506613333333398
5,2.46329500000000027e-05,0.000128585500000000024,1.32173333333333331e-05,1.1361083333333332e-05,0.00890140899999999902,0.00811241210000000074
6,2.12839333333333313e-05,0.000159158833333333338,1.13007000000000001e-05,1.0552633333333333e-05,0.00793620790000000055,0.00768884066666666605
7,2.74672333333333336e-05,0.00025290563333333336,1.56885333333333341e-05,1.42179333333333333e-05,0.00892859836666666691,0.00838934399999999997
8,2.99652666666666658e-05,0.000327143066666666662,1.72233666666666684e-05,1.49189000000000004e-05,0.00912325753333333329,0.00881255746666666749
9,3.36479333333333336e-05,0.000399921133333333329,2.18768333333333337e-05,1.71211666666666679e-05,0.00938600293333333342,0.0100123667666666659
10,0.00330693290000000015,0.0236201451333333326,7.35477000000000006e-05,0.00050291116666666667,0.0765849958999999941,0.0711220114000000042
