m,evmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0.838888888888888906,0.766405095608726383,0.768449198360985908,0.766616394808926405,0.766616394808926405
3,0.770761908426128906,0.731723441319735213,0.735852665060827804,0.724386586044910019,0.723667623092635548
4,0.702237847142067717,0.661258332155615025,0.671580941154982125,0.668415194385492017,0.668893691468757101
5,0.656201641932663837,0.614049578418031872,0.617422743034569788,0.605720073670842463,0.605720073670842463
6,0.556219155811531696,0.555550676860337211,0.55633593360193212,0.54630591639557613,0.543858392950305358
7,0.534289391421870152,0.519761925339991548,0.529513886484763163,0.529779565716255507,0.5257566086927149
8,0.467009638190858001,0.467900834828055945,0.452957606428183945,0.468861008022869508,0.46922143656707388
9,0.365689320481156155,0.395211406473626126,0.407915366912735722,0.390690050376649001,0.39583401298855897
10,0.343474106762493958,0.349554805332548735,0.355934771664544514,0.333834733842957698,0.340657272714811554
