m,evmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
5,0.33333333333333337,0.333333333333333315,0.333333333333333315,0.333333333333333315,0.333333333333333315
6,0.246666666666666673,0.246666666666666673,0.240000000000000019,0.246666666666666673,0.240000000000000019
7,0.140000000000000013,0.140000000000000013,0.160000000000000003,0.140000000000000013,0.160000000000000003
8,0.126262163473197991,0.162648808309772464,0.169856854787856559,0.168044256069459053,0.154664916667621832
9,0.0466666666666666757,0.0716706933365998389,0.102302206701960413,0.0489144737504861177,0.0878776651986616086
10,0.0700000000000000067,0.0998193777480547578,0.146328310432268349,0.0869256685683785224,0.122743965344810635
