m,evefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0.000448788350788386985,0,0
5,0,0,0.00917970387786671768,0,0
6,0,0.00867169864812084891,0.0115648904714309095,0,0
7,0,0,0.00623591016745658061,0,0
8,0,0.000578510892506804751,0,0,0
9,0,0.00460970067497868188,0.0180429403490483913,0,0.00525891082497729079
10,0,0.0156093756329454356,0.0120345879709721371,0,0
