m,evefloss,gwefloss,geefloss,owefloss,oeefloss
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0.000572337219520011671,0.0294016427059171394,0,0.0135831991913966284
9,0,0.00425120912901496423,0.0544635043663640045,0,0.0372363819956247691
10,0,0.013160626606263116,0.0520089699370565595,0,0.0350643244590362405
