m,evwinners,gwwinners,gewinners,owwinners,oewinners
2,0.805555555555555691,0.91666666666666663,0.900000000000000022,0.91666666666666663,0.91666666666666663
3,0.744444444444444464,0.803703703703703698,0.781481481481481555,0.844444444444444442,0.844444444444444442
4,0.73611111111111116,0.780555555555555558,0.755555555555555536,0.786111111111111094,0.786111111111111094
5,0.684074074074074168,0.748333333333333406,0.752777777777777768,0.7844444444444445,0.7844444444444445
6,0.729629629629629739,0.728703703703703631,0.719259259259259154,0.754814814814814827,0.758518518518518481
7,0.662962962962962976,0.689153439153439074,0.671693121693121675,0.684391534391534329,0.687830687830687793
8,0.661111111111111094,0.668055555555555514,0.683333333333333237,0.672222222222222165,0.670833333333333393
9,0.705864197530864157,0.678395061728395032,0.663580246913580307,0.686265432098765449,0.680092592592592582
10,0.665555555555555567,0.661882716049382647,0.652808641975308634,0.679814814814814761,0.677314814814814703
