m,evrevenue,gwrevenue,gerevenue,owrevenue,oerevenue
5,0.683977717005039176,0.683977717005039287,0.683977717005039287,0.683977717005039287,0.683977717005039287
6,0.680168351010732697,0.680168351010732697,0.663211355329135333,0.680168351010732697,0.663211355329135333
7,0.733513460305536324,0.733513460305536324,0.710625540821470558,0.733513460305536324,0.710625540821470558
8,0.746293742645060654,0.747807037794954943,0.710494894681480971,0.754919104863446266,0.731818795668312205
9,0.802717532878290063,0.795082611896228419,0.745631713385541905,0.806535996545319156,0.760320524670510478
10,0.785761143167341913,0.775809065549107446,0.716931962205506923,0.796716176466003456,0.737068715255273843
