m,evmc,gwmc,gemc,owmc,oemc
5,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337
6,0.246666666666666673,0.246666666666666673,0.239999999999999991,0.246666666666666673,0.239999999999999991
7,0.140000000000000013,0.140000000000000013,0.160000000000000003,0.140000000000000013,0.160000000000000003
8,0.126666666666666677,0.160000000000000031,0.166666666666666685,0.16333333333333333,0.150000000000000022
9,0.0466666666666666757,0.0666666666666666657,0.100000000000000006,0.0466666666666666757,0.0866666666666666696
10,0.0700000000000000067,0.0966666666666666785,0.14333333333333334,0.0800000000000000155,0.120000000000000009
