m,evwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
5,0.837581672722221282,0.837581672722221282,0.837581672722221282,0.837581672722221282,0.837581672722221282
6,0.860103184592526437,0.860103184592526437,0.860137700472163536,0.860103184592526437,0.860137700472163536
7,0.914579354884532902,0.914579354884532902,0.895633538770759796,0.914579354884532902,0.895633538770759796
8,0.926708953807864555,0.901340360363495074,0.884017279096292019,0.900455394869407622,0.903141957529930095
9,0.969745602411114627,0.951811485300536497,0.910834936439849807,0.969722856742392225,0.927279121447486254
10,0.95699507447228771,0.933711436761421654,0.879168515838763986,0.949745116168844605,0.903296746836527387
