m,apwelfare,uswelfare,gwwelfare,gewelfare,owwelfare,oewelfare
2,1,0.895790842777087426,1,0.814347917953241129,1,0.814347917953241129
3,0.988439447651385472,0.768935740627234465,1,0.776819471142156881,1,0.806314604375375166
4,0.990443235388252186,0.557814801912379421,1,0.907502324947398908,1,0.922268986902670118
5,0.963984205728994237,0.575584371647577253,0.994709215174083061,0.772589492671460487,1,0.798167524964505937
6,1,0.469562302996201386,1,0.863312716784571443,1,0.863312716784571443
7,1,0.554820043010036623,1,0.869519979297228129,1,0.869519979297228129
8,1,0.489725096780403046,1,0.846048394444418039,1,0.846048394444418039
9,1,0.506409333911502335,1,0.782650697491810377,1,0.782650697491810377
10,1,0.53746527564751434,1,0.772654955261060872,1,0.772654955261060872
