n,apmcloss,usmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0,0.25,0,0,0,0
3,0,0.333333333333333315,0.0506407294418704315,0.195826834457683369,0.0506407294418704315,0.184296880478320158
4,0,0.375,0.037836773110455732,0.236711797389064782,0.0330976903046445933,0.165103840306672023
5,0,0.399999999999999967,0.072976935725833969,0.383891654080192823,0.0686882075135873821,0.412692508701688443
6,0,0.416666666666666685,0.100948285091374657,0.366985542390828978,0.0762605615262280795,0.285652008643762889
7,0,0.428571428571428659,0.115080403665212216,0.456869956128115873,0.0922266217185764153,0.431019308270081503
8,0,0.4375,0.120850034374972118,0.459622170665182184,0.103473283642723526,0.390756005874847212
9,0,0.44444444444444442,0.141731621403791586,0.502210397877387082,0.124292425840250145,0.45094620544167402
10,0,0.400000000000000022,0.166739205292967235,0.620589558817514209,0.146828671775545372,0.550121581350328737
