n,apwelfare,uswelfare,gwwelfare,gewelfare,owwelfare,oewelfare
5,1,0.558550225585948024,1,0.793381037582784665,1,0.793381037582784665
6,1,0.573506913252470607,1,0.822229352087988752,1,0.822229352087988752
7,1,0.526483232094442366,1,0.889719559539100091,1,0.889719559539100091
8,1,0.512885848580559522,1,0.863829972431532034,1,0.863829972431532034
9,1,0.512869911083532415,1,0.901705105084501968,1,0.901705105084501968
10,0.979565771508974392,0.550274992216362557,0.997890142041583106,0.812248437150773217,1,0.854382910890357339
