n,aptime,ustime,gwtime,getime,owtime,oetime
5,1.58756666666666678e-05,7.60479333333333342e-05,8.62226666666666703e-06,7.5115333333333334e-06,0.00743715846666666638,0.00722642933333333352
6,1.85876666666666682e-05,8.90629000000000041e-05,9.7688333333333338e-06,8.39726666666666665e-06,0.00774625256666666619,0.00765157440000000053
7,1.87125000000000008e-05,9.33673666666666631e-05,9.68446666666666679e-06,8.53953333333333355e-06,0.00811121459999999961,0.00791805506666666721
8,2.07227000000000007e-05,0.000109272333333333327,1.1680166666666667e-05,9.72950000000000061e-06,0.00832541323333333382,0.00786333916666666702
9,2.15458666666666664e-05,0.000116780499999999998,1.05861000000000002e-05,9.98423333333333346e-06,0.00798655489999999975,0.00792142953333333302
10,2.14093999999999987e-05,0.000126777266666666677,1.23010499999999997e-05,1.10755999999999995e-05,0.00912255926666666675,0.00790544681666666658
