n,aptime,ustime,gwtime,getime,owtime,oetime
2,2.09426333333333317e-05,0.000154089916666666667,1.18627833333333343e-05,9.93175000000000024e-06,0.00762719039999999997,0.00729977783333333324
3,2.16104999999999992e-05,0.000175036866666666678,1.19188000000000001e-05,9.3396666666666663e-06,0.00763541300000000062,0.00747910123333333371
4,2.11048250000000034e-05,0.000236781324999999984,1.38170333333333334e-05,1.11517416666666671e-05,0.0109921606166666665,0.0104894640250000008
5,2.30777533333333324e-05,0.000304190300000000021,1.54893133333333329e-05,1.35315466666666679e-05,0.0128913948400000006,0.0105223123666666665
6,2.38404055555555541e-05,0.000325425055555555608,1.64496611111111149e-05,1.39231500000000007e-05,0.0120188715944444437,0.0134216733166666654
7,2.49236380952380945e-05,0.000364480419047619067,1.72135095238095233e-05,1.49774190476190474e-05,0.0115582285999999996,0.0121726482095238092
8,2.6197766666666665e-05,0.000402372454166666639,1.82887958333333343e-05,1.60518000000000011e-05,0.0121899096666666686,0.0132997994083333335
9,2.94146999999999981e-05,0.000459858137037037101,2.04255148148148102e-05,1.75714481481481467e-05,0.0118104536481481483,0.0115109260148148138
10,0.000519438611111111147,0.00314177021111111156,4.38158666666666616e-05,2.42186148148148129e-05,0.0167861270962962987,0.0194350337999999977
