n,apmc,usmc,gwmc,gemc,owmc,oemc
5,0,0.800000000000000044,0,0,0,0
6,0,0.83333333333333337,0,0,0,0
7,0,0.857142857142857095,0,0,0,0
8,0,0.875,0,0,0,0
9,0,0.88888888888888884,0,0,0,0
10,0,0.850000000000000089,0.0483333333333333323,0.0633333333333333387,0.0433333333333333348,0.0516666666666666732
