n,aprevenue,usrevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,1,0.865191943185511958,1,0.37085753845147873,1,0.37085753845147873
3,0.979134853024008933,0.876802163071805918,1,0.421312385195536709,1,0.438339058127599046
4,0.955922146325448363,0.84737129169803227,0.99418251182435935,0.39181301621574488,1,0.436465918653974494
5,0.972834205183048084,0.871966801254046686,0.995184283308094386,0.409165022464624939,1,0.375688041937332129
6,0.917824559990760513,0.854435980107464133,0.986156003731070041,0.419300707728656852,1,0.457763626908109955
7,0.960993758370435325,0.867793119277252667,0.985908087663291743,0.386513630409750064,1,0.402007672122897008
8,0.939737900097125434,0.871005887215127839,0.988402384001469958,0.42822489391441948,1,0.465078469250173321
9,0.949415252696467094,0.863708595307844273,0.986768962389093285,0.434303128568147234,1,0.45356175622441619
10,0.918411127015758888,0.912862881843499063,0.987326951458362689,0.350551895507737687,1,0.39662518917341788
