n,apef,usef,gwef,geef,owef,oeef
2,0,0,0,0.438333333333333353,0,0.438333333333333353
3,0.0544444444444444411,0,0,0.315555555555555589,0,0.309999999999999998
4,0.0599999999999999978,0,0.00833333333333333495,0.287499999999999978,0,0.284166666666666679
5,0.0806666666666666643,0,0.00266666666666666658,0.194666666666666682,0.000666666666666666861,0.196000000000000008
6,0.0938888888888888967,0,0.00277777777777777788,0.167222222222222244,0.00222222222222222265,0.181666666666666671
7,0.100476190476190483,0,0.00333333333333333398,0.160952380952380986,0.000952380952380952597,0.154761904761904795
8,0.112500000000000003,0,0.00208333333333333374,0.123749999999999985,0.00458333333333333336,0.131666666666666682
9,0.114074074074074064,0,0,0.0955555555555555602,0.00148148148148148141,0.105925925925925923
10,0.130740740740740713,0,0,0.084074074074074065,0.000740740740740740921,0.0937037037037037057
