n,apefloss,usefloss,gwefloss,geefloss,owefloss,oeefloss
5,0,0,0,0.352160114017750936,0,0.352160114017750936
6,0,0,0,0.273552076659343169,0,0.273552076659343169
7,0,0,0,0.220507210296550876,0,0.220507210296550876
8,0,0,0,0.271693922721480297,0,0.271693922721480297
9,0,0,0,0.210995699528935432,0,0.210995699528935432
10,0.137806694111261147,0,0,0.154786191901440967,0,0.139299071716384365
