n,apefloss,usefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0,0,0.598688663723368819,0,0.598688663723368819
3,0.311111111111111116,0,0,0.542922558713241021,0,0.517971594089316922
4,0.360877142653849792,0,0.00643002139069297728,0.527298861267214591,0,0.519927227750493159
5,0.461609530502968712,0,0.00420912873258677284,0.374759996073241453,0.00536824609565824361,0.397223633814344612
6,0.479819710420443191,0,0.00358474782056067724,0.374970468812909907,0.00350821183856497376,0.399727689932411423
7,0.507959823123293464,0,0.00491864575785608184,0.368877406678424058,0.000334422949967469181,0.354848649641069602
8,0.532390359098546817,0,0.00553443909522145696,0.298285386497487481,0.00457758229129761295,0.301132179487226037
9,0.54300121755298425,0,0,0.215769423401495714,0.00174812067401737981,0.262556731357871442
10,0.614057636370596516,0,0,0.158148070460753409,0.00144965847915045124,0.168302057205459904
