n,evmc,gwmc,gemc,owmc,oemc
4,0,0.0500000000000000028,0.100000000000000006,0.0250000000000000014,0.0333333333333333398
5,0.0466666666666666757,0.106666666666666674,0.140000000000000013,0.0466666666666666688,0.120000000000000009
6,0.0888888888888888784,0.0999999999999999917,0.188888888888888884,0.0888888888888888784,0.111111111111111105
7,0.119047619047619041,0.178571428571428548,0.228571428571428537,0.142857142857142849,0.161904761904761885
8,0.177083333333333315,0.26041666666666663,0.277083333333333348,0.220833333333333326,0.235416666666666663
9,0.283333333333333326,0.316666666666666652,0.312962962962962998,0.290740740740740744,0.292592592592592571
10,0.344444444444444386,0.34555555555555556,0.358888888888888868,0.330000000000000016,0.33666666666666667
