n,evtime,gwtime,getime,owtime,oetime
2,-1.00000000000000006e-09,0.00132784064444444426,0.00170991957777777773,0.0456651087111111173,0.104013809644444441
3,-1.00000000000000006e-09,0.00222075265555555547,0.00290821912222222201,0.0786933408222222214,0.151291931877777786
4,-1.00000000000000006e-09,0.0485549554166666703,0.0601576337333333336,0.358725035716666696,0.652534013599999962
5,-1.00000000000000006e-09,0.00610872546666666599,0.00933005908333333495,0.207960041816666663,0.321427640050000019
6,-1.00000000000000006e-09,0.00644934575000000003,0.006950618166666667,0.224431024350000008,0.317527871016666685
7,-1.00000000000000006e-09,0.00763406043333333343,0.00784183483333333355,0.220157803666666679,0.293205223533333337
8,-1.00000000000000006e-09,0.0100780630333333326,0.00941458556666666634,0.291678566199999989,0.381125303500000012
9,-1.00000000000000006e-09,0.0168730510333333326,0.0250474453666666673,0.453577984133333334,0.535149886466666613
10,-1.00000000000000006e-09,0.015503838733333334,0.0117758205333333334,1.96914320070000004,2.90837585593333348
