n,evtime,gwtime,getime,owtime,oetime
4,-1.00000000000000006e-09,0.0642594293666666622,0.0748164913666666681,0.377457722533333317,0.534860073499999977
5,-1.00000000000000006e-09,0.00697015246666666654,0.0141040365999999997,0.169040622266666662,0.261306310400000019
6,-1.00000000000000006e-09,0.00526011350000000003,0.00597774050000000022,0.162155229966666675,0.214408529233333339
7,-1.00000000000000006e-09,0.0066511661166666668,0.00655201006666666658,0.189874362483333337,0.223035002316666675
8,-1.00000000000000006e-09,0.00801163711666666618,0.00722250768333333303,0.270973085633333333,0.308132885383333333
9,-1.00000000000000006e-09,0.0197107348833333341,0.0266947196500000004,0.425298249866666644,0.446862963449999984
10,-1.00000000000000006e-09,0.0129463145444444431,0.00987401117777777886,0.927282773311111086,1.25423376221111105
