n,evwinners,gwwinners,gewinners,owwinners,oewinners
2,1,0.988888888888888928,0.977777777777777857,1,0.966666666666666674
3,0.988888888888888928,0.951851851851851838,0.918518518518518512,0.988888888888888928,0.951851851851851838
4,0.970833333333333326,0.958333333333333259,0.933333333333333348,0.966666666666666563,0.941666666666666652
5,0.929999999999999938,0.903333333333333321,0.856666666666666687,0.919999999999999929,0.880000000000000004
6,0.911111111111111205,0.863888888888888928,0.855555555555555625,0.900000000000000022,0.877777777777777768
7,0.880952380952380931,0.880952380952380931,0.876190476190476186,0.880952380952380931,0.876190476190476186
8,0.712500000000000022,0.712500000000000022,0.704166666666666718,0.712500000000000022,0.704166666666666718
9,0.770370370370370372,0.770370370370370372,0.770370370370370372,0.770370370370370372,0.770370370370370372
10,0.683333333333333348,0.683333333333333348,0.683333333333333348,0.683333333333333348,0.683333333333333348
