n,evefloss,gwefloss,geefloss,owefloss,oeefloss
4,0,0.0611253845389191641,0.161549301806372642,0,0.120805673697161664
5,0,0.0098411111850328515,0.0526757443158523686,0,0.0585637663748265272
6,0,0.0624638304296271235,0.151591128279023074,0,0.0828556795421231951
7,0,0.0378891622257700594,0.0633616313943245468,0,0.022854869358395577
8,0,0.00591453545725064821,0.0477336504885561216,0,0.00400606723316203686
9,0,0.0128627190513374966,0.0307056176464016381,0,0
10,0,0.0156093756329454356,0.0120345879709721371,0,0
