n,evrevenue,gwrevenue,gerevenue,owrevenue,oerevenue
4,0.914785510369953259,0.874359808599109778,0.773890452184728184,0.918105983652661939,0.858710598979207429
5,0.876055467748547922,0.858418976958991498,0.814584500156845359,0.894292760246920171,0.858383621317254764
6,0.843269712621796064,0.847795364412040064,0.777771569091867399,0.878341876689483159,0.83976796640702267
7,0.744204703856340188,0.735074365832686039,0.703314120295373657,0.766719549565985981,0.74177453953500283
8,0.684384962686726217,0.707300056449819969,0.674324260103048689,0.72879547700782854,0.719146307847642885
9,0.654720332670234106,0.67092921969317687,0.665128842419276056,0.70185123388695192,0.698712318154240508
10,0.624126243199282782,0.642118493217575859,0.636519179806658064,0.656219039977147811,0.655656733480454168
